Wavelength_01 quinine_0.2mM_PL Wavelength_02 quinine_0.2mM_Abs
2.76041e+02 7.34444e-01 2.76041e+02 1.00000e-02
2.76836e+02 6.20000e-01 2.76836e+02 1.00000e-02
2.77632e+02 8.64444e-01 2.77632e+02 1.00000e-02
2.78427e+02 6.02222e-01 2.78427e+02 1.11111e-02
2.79223e+02 6.64444e-01 2.79223e+02 1.77778e-02
2.80018e+02 7.43333e-01 2.80018e+02 2.00000e-02
2.80813e+02 6.56667e-01 2.80813e+02 2.00000e-02
2.81609e+02 5.85556e-01 2.81609e+02 2.00000e-02
2.82404e+02 8.34444e-01 2.82404e+02 2.44444e-02
2.83199e+02 6.53333e-01 2.83199e+02 3.00000e-02
2.83994e+02 7.34444e-01 2.83994e+02 3.00000e-02
2.84789e+02 8.45556e-01 2.84789e+02 3.00000e-02
2.85584e+02 5.86667e-01 2.85584e+02 3.44444e-02
2.86379e+02 6.06667e-01 2.86379e+02 4.00000e-02
2.87173e+02 6.61111e-01 2.87173e+02 4.00000e-02
2.87968e+02 6.80000e-01 2.87968e+02 4.00000e-02
2.88763e+02 8.34444e-01 2.88763e+02 5.00000e-02
2.89557e+02 7.87778e-01 2.89557e+02 5.00000e-02
2.90352e+02 5.77778e-01 2.90352e+02 5.00000e-02
2.91146e+02 7.23333e-01 2.91146e+02 6.00000e-02
2.91940e+02 1.00222e+00 2.91940e+02 6.00000e-02
2.92735e+02 1.03222e+00 2.92735e+02 6.11111e-02
2.93529e+02 8.90000e-01 2.93529e+02 7.00000e-02
2.94323e+02 8.11111e-01 2.94323e+02 7.00000e-02
2.95117e+02 1.04778e+00 2.95117e+02 7.55556e-02
2.95911e+02 1.04556e+00 2.95911e+02 8.00000e-02
2.96705e+02 1.02333e+00 2.96705e+02 8.00000e-02
2.97499e+02 5.80000e-01 2.97499e+02 9.00000e-02
2.98293e+02 5.45556e-01 2.98293e+02 9.00000e-02
2.99086e+02 6.41111e-01 2.99086e+02 9.77778e-02
2.99880e+02 7.63333e-01 2.99880e+02 1.00000e-01
3.00673e+02 6.57778e-01 3.00673e+02 1.01111e-01
3.01467e+02 9.80000e-01 3.01467e+02 1.10000e-01
3.02260e+02 8.50000e-01 3.02260e+02 1.10000e-01
3.03054e+02 1.08444e+00 3.03054e+02 1.20000e-01
3.03847e+02 7.96667e-01 3.03847e+02 1.20000e-01
3.04640e+02 8.75556e-01 3.04640e+02 1.28889e-01
3.05433e+02 6.66667e-01 3.05433e+02 1.30000e-01
3.06227e+02 6.68889e-01 3.06227e+02 1.31111e-01
3.07020e+02 4.14444e-01 3.07020e+02 1.40000e-01
3.07813e+02 5.51111e-01 3.07813e+02 1.40000e-01
3.08605e+02 6.55556e-01 3.08605e+02 1.44444e-01
3.09398e+02 1.02222e+00 3.09398e+02 1.50000e-01
3.10191e+02 6.21111e-01 3.10191e+02 1.50000e-01
3.10984e+02 6.38889e-01 3.10984e+02 1.55556e-01
3.11776e+02 6.65556e-01 3.11776e+02 1.60000e-01
3.12569e+02 8.25556e-01 3.12569e+02 1.60000e-01
3.13361e+02 8.30000e-01 3.13361e+02 1.60000e-01
3.14154e+02 8.85556e-01 3.14154e+02 1.66667e-01
3.14946e+02 9.73333e-01 3.14946e+02 1.70000e-01
3.15738e+02 1.18667e+00 3.15738e+02 1.70000e-01
3.16530e+02 1.26333e+00 3.16530e+02 1.70000e-01
