Wavelength_01 quinine_0.1mM_PL Wavelength_02 quinine_0.1mM_Abs
2.76041e+02 -6.66667e-03 2.76041e+02 8.00000e-02
2.76836e+02 8.33333e-02 2.76836e+02 9.00000e-02
2.77632e+02 1.68889e-01 2.77632e+02 9.00000e-02
2.78427e+02 3.63333e-01 2.78427e+02 9.00000e-02
2.79223e+02 1.94444e-01 2.79223e+02 1.00000e-01
2.80018e+02 1.43333e-01 2.80018e+02 1.00000e-01
2.80813e+02 1.95556e-01 2.80813e+02 1.10000e-01
2.81609e+02 -1.91111e-01 2.81609e+02 1.10000e-01
2.82404e+02 7.88889e-02 2.82404e+02 1.10000e-01
2.83199e+02 1.36667e-01 2.83199e+02 1.20000e-01
2.83994e+02 -1.50000e-01 2.83994e+02 1.20000e-01
2.84789e+02 9.11111e-02 2.84789e+02 1.30000e-01
2.85584e+02 2.60000e-01 2.85584e+02 1.30000e-01
2.86379e+02 2.42222e-01 2.86379e+02 1.40000e-01
2.87173e+02 4.64444e-01 2.87173e+02 1.40000e-01
2.87968e+02 3.92222e-01 2.87968e+02 1.50000e-01
2.88763e+02 4.13333e-01 2.88763e+02 1.50000e-01
2.89557e+02 5.61111e-01 2.89557e+02 1.60000e-01
2.90352e+02 5.90000e-01 2.90352e+02 1.60000e-01
2.91146e+02 4.62222e-01 2.91146e+02 1.70000e-01
2.91940e+02 6.66667e-01 2.91940e+02 1.80000e-01
2.92735e+02 5.33333e-01 2.92735e+02 1.80000e-01
2.93529e+02 4.80000e-01 2.93529e+02 1.90000e-01
2.94323e+02 3.15556e-01 2.94323e+02 2.00000e-01
2.95117e+02 2.35556e-01 2.95117e+02 2.10000e-01
2.95911e+02 3.74444e-01 2.95911e+02 2.10000e-01
2.96705e+02 5.12222e-01 2.96705e+02 2.20000e-01
2.97499e+02 4.50000e-01 2.97499e+02 2.30000e-01
2.98293e+02 4.80000e-01 2.98293e+02 2.40000e-01
2.99086e+02 3.88889e-01 2.99086e+02 2.40000e-01
2.99880e+02 3.50000e-01 2.99880e+02 2.50000e-01
3.00673e+02 1.86667e-01 3.00673e+02 2.60000e-01
3.01467e+02 -8.66667e-02 3.01467e+02 2.70000e-01
3.02260e+02 -2.90000e-01 3.02260e+02 2.80000e-01
3.03054e+02 -3.71111e-01 3.03054e+02 2.90000e-01
3.03847e+02 -1.50000e-01 3.03847e+02 2.90000e-01
3.04640e+02 1.11111e-01 3.04640e+02 3.00000e-01
3.05433e+02 1.82222e-01 3.05433e+02 3.10000e-01
3.06227e+02 2.90000e-01 3.06227e+02 3.20000e-01
3.07020e+02 3.05556e-01 3.07020e+02 3.20000e-01
3.07813e+02 6.06667e-01 3.07813e+02 3.30000e-01
3.08605e+02 7.22222e-01 3.08605e+02 3.40000e-01
3.09398e+02 3.90000e-01 3.09398e+02 3.40000e-01
3.10191e+02 2.08889e-01 3.10191e+02 3.50000e-01
3.10984e+02 2.40000e-01 3.10984e+02 3.60000e-01
3.11776e+02 1.84444e-01 3.11776e+02 3.60000e-01
3.12569e+02 2.44444e-02 3.12569e+02 3.70000e-01
3.13361e+02 -1.34444e-01 3.13361e+02 3.70000e-01
3.14154e+02 -2.77778e-02 3.14154e+02 3.80000e-01
3.14946e+02 6.44444e-02 3.14946e+02 3.80000e-01
3.15738e+02 2.66667e-02 3.15738e+02 3.80000e-01
3.16530e+02 1.17778e-01 3.16530e+02 3.80000e-01
3.17323e+02 6.33333e-02 3.17323e+02 3.80000e-01
3.18115e+02 2.15556e-01 3.18115e+02 3.80000e-01
3.18907e+02 1.23333e-01 3.18907e+02 3.80000e-01
3.19698e+02 2.55556e-02 3.19698e+02 3.80000e-01
3.20490e+02 4.33333e-02 3.20490e+02 3.80000e-01
3.21282e+02 8.00000e-02 3.21282e+02 3.70000e-01
3.22074e+02 2.04444e-01 3.22074e+02 3.70000e-01
3.22865e+02 3.67778e-01 3.22865e+02 3.70000e-01
3.23657e+02 4.13333e-01 3.23657e+02 3.70000e-01
3.24448e+02 3.10000e-01 3.24448e+02 3.70000e-01
3.25240e+02 3.25556e-01 3.25240e+02 3.70000e-01
3.26031e+02 4.37778e-01 3.26031e+02 3.70000e-01
3.26823e+02 4.68889e-01 3.26823e+02 3.70000e-01
3.27614e+02 3.86667e-01 3.27614e+02 3.70000e-01
3.28405e+02 3.45556e-01 3.28405e+02 3.71111e-01
3.29196e+02 4.07778e-01 3.29196e+02 3.80000e-01
3.29987e+02 5.41111e-01 3.29987e+02 3.80000e-01
3.30778e+02 4.34444e-01 3.30778e+02 3.90000e-01
3.31569e+02 4.40000e-01 3.31569e+02 3.90000e-01
3.32360e+02 3.73333e-01 3.32360e+02 4.00000e-01
3.33150e+02 2.48889e-01 3.33150e+02 4.00000e-01
3.33941e+02 1.42222e-01 3.33941e+02 4.10000e-01
3.34731e+02 2.22222e-03 3.34731e+02 4.20000e-01
3.35522e+02 -4.22222e-02 3.35522e+02 4.20000e-01
3.36312e+02 1.44444e-02 3.36312e+02 4.30000e-01
3.37103e+02 -5.22222e-02 3.37103e+02 4.30000e-01
3.37893e+02 -3.33333e-02 3.37893e+02 4.40000e-01
3.38683e+02 -6.66667e-02 3.38683e+02 4.46667e-01
3.39473e+02 1.54444e-01 3.39473e+02 4.50000e-01
3.40264e+02 2.15556e-01 3.40264e+02 4.50000e-01
3.41054e+02 3.90000e-01 3.41054e+02 4.60000e-01
