Wavelength_01 CsPbBr3_PL Wavelength_02 CsPbBr3_Abs Wavelength_03 CsPbI3_PL Wavelength_04 CsPbI3_Abs
2.35374e+02 2.93333e-01 2.35374e+02 1.10000e-01 2.35374e+02 -2.28889e-01 2.35374e+02 1.70000e-01
2.36173e+02 7.66667e-02 2.36173e+02 1.10000e-01 2.36173e+02 -4.03333e-01 2.36173e+02 1.70000e-01
2.36972e+02 1.80000e-01 2.36972e+02 1.10000e-01 2.36972e+02 -4.78889e-01 2.36972e+02 1.72222e-01
2.37771e+02 2.18889e-01 2.37771e+02 1.10000e-01 2.37771e+02 -4.10000e-01 2.37771e+02 1.71111e-01
2.38570e+02 5.67778e-01 2.38570e+02 1.10000e-01 2.38570e+02 -2.44444e-02 2.38570e+02 1.70000e-01
2.39368e+02 3.43333e-01 2.39368e+02 1.10000e-01 2.39368e+02 -2.01111e-01 2.39368e+02 1.70000e-01
2.40167e+02 3.34444e-01 2.40167e+02 1.10000e-01 2.40167e+02 -1.65556e-01 2.40167e+02 1.70000e-01
2.40966e+02 6.52222e-01 2.40966e+02 1.10000e-01 2.40966e+02 -3.11111e-02 2.40966e+02 1.70000e-01
2.41764e+02 7.92222e-01 2.41764e+02 1.10000e-01 2.41764e+02 9.33333e-02 2.41764e+02 1.70000e-01
2.42563e+02 8.65556e-01 2.42563e+02 1.10000e-01 2.42563e+02 1.72222e-01 2.42563e+02 1.70000e-01
2.43361e+02 7.61111e-01 2.43361e+02 1.10000e-01 2.43361e+02 -1.33333e-02 2.43361e+02 1.70000e-01
2.44160e+02 4.53333e-01 2.44160e+02 1.10000e-01 2.44160e+02 -3.14444e-01 2.44160e+02 1.73333e-01
2.44958e+02 7.98889e-01 2.44958e+02 1.10000e-01 2.44958e+02 -9.00000e-02 2.44958e+02 1.77778e-01
2.45756e+02 7.54444e-01 2.45756e+02 1.10000e-01 2.45756e+02 -1.32222e-01 2.45756e+02 1.80000e-01
2.46555e+02 4.04444e-01 2.46555e+02 1.10000e-01 2.46555e+02 -3.12222e-01 2.46555e+02 1.80000e-01
2.47353e+02 1.43333e-01 2.47353e+02 1.14444e-01 2.47353e+02 -6.35556e-01 2.47353e+02 1.80000e-01
2.48151e+02 1.41111e-01 2.48151e+02 1.20000e-01 2.48151e+02 -5.01111e-01 2.48151e+02 1.84444e-01
2.48949e+02 -4.33333e-02 2.48949e+02 1.20000e-01 2.48949e+02 -6.04444e-01 2.48949e+02 1.90000e-01
2.49747e+02 1.73333e-01 2.49747e+02 1.24444e-01 2.49747e+02 -5.71111e-01 2.49747e+02 1.90000e-01
2.50545e+02 -9.11111e-02 2.50545e+02 1.30000e-01 2.50545e+02 -8.58889e-01 2.50545e+02 2.00000e-01
