x_CsPbBr_dilute_00 CsPbBr_dilute_00_mean x_CsPbBr_dilute_02 CsPbBr_dilute_02_mean x_CsPbBr_dilute_04 CsPbBr_dilute_04_mean x_CsPbBr_dilute_08 CsPbBr_dilute_08_mean x_CsPbBr_dilute_16 CsPbBr_dilute_16_mean
2.26579e+02 -6.11111e-01 2.26579e+02 -4.57778e-01 2.26579e+02 -5.30000e-01 2.26579e+02 -6.30000e-01 2.26579e+02 -4.18889e-01
2.27379e+02 -6.95556e-01 2.27379e+02 -6.07778e-01 2.27379e+02 -6.11111e-01 2.27379e+02 -7.42222e-01 2.27379e+02 -5.17778e-01
2.28179e+02 -3.85556e-01 2.28179e+02 -2.71111e-01 2.28179e+02 -3.17778e-01 2.28179e+02 -4.26667e-01 2.28179e+02 -1.24444e-01
2.28979e+02 -6.26667e-01 2.28979e+02 -4.70000e-01 2.28979e+02 -5.12222e-01 2.28979e+02 -5.64444e-01 2.28979e+02 -2.50000e-01
2.29778e+02 -6.42222e-01 2.29778e+02 -4.58889e-01 2.29778e+02 -4.05556e-01 2.29778e+02 -5.03333e-01 2.29778e+02 -2.97778e-01
2.30578e+02 -5.24444e-01 2.30578e+02 -2.72222e-01 2.30578e+02 -2.82222e-01 2.30578e+02 -3.63333e-01 2.30578e+02 -2.27778e-01
2.31377e+02 -3.07778e-01 2.31377e+02 -7.00000e-02 2.31377e+02 -4.88889e-02 2.31377e+02 -1.21111e-01 2.31377e+02 -3.55556e-02
2.32177e+02 -1.21111e-01 2.32177e+02 1.34444e-01 2.32177e+02 7.11111e-02 2.32177e+02 1.25556e-01 2.32177e+02 1.51111e-01
2.32976e+02 2.22222e-03 2.32976e+02 3.24444e-01 2.32976e+02 2.91111e-01 2.32976e+02 2.94444e-01 2.32976e+02 2.81111e-01
2.33775e+02 -8.77778e-02 2.33775e+02 2.01111e-01 2.33775e+02 1.68889e-01 2.33775e+02 1.46667e-01 2.33775e+02 8.88889e-02
2.34575e+02 1.37778e-01 2.34575e+02 4.48889e-01 2.34575e+02 4.12222e-01 2.34575e+02 3.75556e-01 2.34575e+02 3.46667e-01
2.35374e+02 2.43333e-01 2.35374e+02 6.14444e-01 2.35374e+02 4.77778e-01 2.35374e+02 5.13333e-01 2.35374e+02 4.60000e-01
2.36173e+02 2.61111e-01 2.36173e+02 5.44444e-01 2.36173e+02 4.31111e-01 2.36173e+02 4.18889e-01 2.36173e+02 4.32222e-01
2.36972e+02 3.03333e-01 2.36972e+02 6.86667e-01 2.36972e+02 5.06667e-01 2.36972e+02 5.80000e-01 2.36972e+02 5.18889e-01
2.37771e+02 9.44444e-02 2.37771e+02 4.33333e-01 2.37771e+02 3.32222e-01 2.37771e+02 3.54444e-01 2.37771e+02 2.45556e-01
2.38570e+02 2.88889e-02 2.38570e+02 3.08889e-01 2.38570e+02 1.76667e-01 2.38570e+02 2.46667e-01 2.38570e+02 9.44444e-02
2.39368e+02 -5.88889e-02 2.39368e+02 1.75556e-01 2.39368e+02 1.24444e-01 2.39368e+02 2.14444e-01 2.39368e+02 1.00000e-01
2.40167e+02 1.98889e-01 2.40167e+02 3.36667e-01 2.40167e+02 3.23333e-01 2.40167e+02 5.18889e-01 2.40167e+02 2.96667e-01
2.40966e+02 1.81111e-01 2.40966e+02 2.73333e-01 2.40966e+02 3.08889e-01 2.40966e+02 5.72222e-01 2.40966e+02 3.44444e-01
2.41764e+02 1.80000e-01 2.41764e+02 3.15556e-01 2.41764e+02 3.55556e-01 2.41764e+02 6.21111e-01 2.41764e+02 3.95556e-01
2.42563e+02 1.44444e-02 2.42563e+02 5.55556e-02 2.42563e+02 1.73333e-01 2.42563e+02 3.45556e-01 2.42563e+02 1.13333e-01
2.43361e+02 -2.22222e-02 2.43361e+02 4.77778e-02 2.43361e+02 2.03333e-01 2.43361e+02 3.01111e-01 2.43361e+02 9.33333e-02
2.44160e+02 -2.11111e-01 2.44160e+02 -1.31111e-01 2.44160e+02 3.66667e-02 2.44160e+02 1.88889e-01 2.44160e+02 -2.22222e-03
