r_Cl_64micl g_Cl_64micl r_Cl_32micl g_Cl_32micl r_Cl_16micl g_Cl_16micl r_Cl_8micl g_Cl_8micl r_CsPbBr2_10m g_CsPbBr2_10m r_I_8micl g_I_8micl r_I_16micl g_I_16micl r_I_32micl g_I_32micl r_I_64micl g_I_64micl
1.80000000e-01 -1.57165000e-02 1.80000000e-01 -2.09202000e-02 1.80000000e-01 -9.12144000e-03 1.80000000e-01 -6.20710000e-03 1.80000000e-01 -9.65450000e-03 1.80000000e-01 -1.37821000e-02 1.80000000e-01 -1.15905000e-02 1.80000000e-01 -7.78703000e-03 1.80000000e-01 -6.01365000e-03
1.90000000e-01 -1.75577000e-02 1.90000000e-01 -2.09514000e-02 1.90000000e-01 -1.13385000e-02 1.90000000e-01 -4.87967000e-03 1.90000000e-01 -1.67100000e-02 1.90000000e-01 -2.82332000e-02 1.90000000e-01 -1.96983000e-02 1.90000000e-01 -1.40450000e-02 1.90000000e-01 -1.07775000e-02
2.00000000e-01 -1.86983000e-02 2.00000000e-01 -2.00548000e-02 2.00000000e-01 -1.30897000e-02 2.00000000e-01 -3.27681000e-03 2.00000000e-01 -2.31906000e-02 2.00000000e-01 -4.18138000e-02 2.00000000e-01 -2.71450000e-02 2.00000000e-01 -1.98396000e-02 2.00000000e-01 -1.51860000e-02
2.10000000e-01 -1.90430000e-02 2.10000000e-01 -1.81713000e-02 2.10000000e-01 -1.42855000e-02 2.10000000e-01 -1.41913000e-03 2.10000000e-01 -2.88654000e-02 2.10000000e-01 -5.40671000e-02 2.10000000e-01 -3.36631000e-02 2.10000000e-01 -2.49677000e-02 2.10000000e-01 -1.90845000e-02
2.20000000e-01 -1.85270000e-02 2.20000000e-01 -1.52819000e-02 2.20000000e-01 -1.48576000e-02 2.20000000e-01 6.60555000e-04 2.20000000e-01 -3.35302000e-02 2.20000000e-01 -6.45772000e-02 2.20000000e-01 -3.90154000e-02 2.20000000e-01 -2.92477000e-02 2.20000000e-01 -2.23348000e-02
2.30000000e-01 -1.71201000e-02 2.30000000e-01 -1.14118000e-02 2.30000000e-01 -1.47626000e-02 2.30000000e-01 2.91699000e-03 2.30000000e-01 -3.70155000e-02 2.30000000e-01 -7.29828000e-02 2.30000000e-01 -4.30033000e-02 2.30000000e-01 -3.25261000e-02 2.30000000e-01 -2.48200000e-02
2.40000000e-01 -1.48294000e-02 2.40000000e-01 -6.63184000e-03 2.40000000e-01 -1.39843000e-02 2.40000000e-01 5.29271000e-03 2.40000000e-01 -3.91921000e-02 2.40000000e-01 -7.89895000e-02 2.40000000e-01 -4.54744000e-02 2.40000000e-01 -3.46825000e-02 2.40000000e-01 -2.64487000e-02
2.50000000e-01 -1.17011000e-02 2.50000000e-01 -1.05999000e-03 2.50000000e-01 -1.25358000e-02 2.50000000e-01 7.71884000e-03 2.50000000e-01 -3.99765000e-02 2.50000000e-01 -8.23793000e-02 2.50000000e-01 -4.63281000e-02 2.50000000e-01 -3.56343000e-02 2.50000000e-01 -2.71584000e-02
2.60000000e-01 -7.82076000e-03 2.60000000e-01 5.14069000e-03 2.60000000e-01 -1.04595000e-02 2.60000000e-01 1.01163000e-02 2.60000000e-01 -3.93341000e-02 2.60000000e-01 -8.30192000e-02 2.60000000e-01 -4.55196000e-02 2.60000000e-01 -3.53400000e-02 2.60000000e-01 -2.69179000e-02
2.70000000e-01 -3.31153000e-03 2.70000000e-01 1.17649000e-02 2.70000000e-01 -7.82729000e-03 2.70000000e-01 1.23976000e-02 2.70000000e-01 -3.72811000e-02 2.70000000e-01 -8.08652000e-02 2.70000000e-01 -4.30622000e-02 2.70000000e-01 -3.38010000e-02 2.70000000e-01 -2.57287000e-02
2.80000000e-01 1.67350000e-03 2.80000000e-01 1.85682000e-02 2.80000000e-01 -4.73221000e-03 2.80000000e-01 1.44630000e-02 2.80000000e-01 -3.38609000e-02 2.80000000e-01 -7.59155000e-02 2.80000000e-01 -3.90004000e-02 2.80000000e-01 -3.10406000e-02 2.80000000e-01 -2.36093000e-02
2.90000000e-01 6.93169000e-03 2.90000000e-01 2.52678000e-02 2.90000000e-01 -1.31030000e-03 2.90000000e-01 1.62173000e-02 2.90000000e-01 -2.92189000e-02 2.90000000e-01 -6.83663000e-02 2.90000000e-01 -3.34969000e-02 2.90000000e-01 -2.71716000e-02 2.90000000e-01 -2.06460000e-02
3.00000000e-01 1.22476000e-02 3.00000000e-01 3.15681000e-02 3.00000000e-01 2.29190000e-03 3.00000000e-01 1.75631000e-02 3.00000000e-01 -2.35207000e-02 3.00000000e-01 -5.84517000e-02 3.00000000e-01 -2.67386000e-02 3.00000000e-01 -2.23244000e-02 3.00000000e-01 -1.69389000e-02
3.10000000e-01 1.73889000e-02 3.10000000e-01 3.71623000e-02 3.10000000e-01 5.91238000e-03 3.10000000e-01 1.84062000e-02 3.10000000e-01 -1.69715000e-02 3.10000000e-01 -4.64835000e-02 3.10000000e-01 -1.89582000e-02 3.10000000e-01 -1.66646000e-02 3.10000000e-01 -1.26147000e-02
3.20000000e-01 2.21138000e-02 3.20000000e-01 4.17431000e-02 3.20000000e-01 9.37881000e-03 3.20000000e-01 1.86591000e-02 3.20000000e-01 -9.81021000e-03 3.20000000e-01 -3.28449000e-02 3.20000000e-01 -1.04291000e-02 3.20000000e-01 -1.03882000e-02 3.20000000e-01 -7.82341000e-03
3.30000000e-01 2.61798000e-02 3.30000000e-01 4.50145000e-02 3.30000000e-01 1.25147000e-02 3.30000000e-01 1.82445000e-02 3.30000000e-01 -2.30175000e-03 3.30000000e-01 -1.79782000e-02 3.30000000e-01 -1.45586000e-03 3.30000000e-01 -3.71646000e-03 3.30000000e-01 -2.73390000e-03
3.40000000e-01 2.93526000e-02 3.40000000e-01 4.67033000e-02 3.40000000e-01 1.51461000e-02 3.40000000e-01 1.70989000e-02 3.40000000e-01 5.27147000e-03 3.40000000e-01 -2.37149000e-03 3.40000000e-01 7.63478000e-03 3.40000000e-01 3.11216000e-03 3.40000000e-01 2.47155000e-03
3.50000000e-01 3.14160000e-02 3.50000000e-01 4.65708000e-02 3.50000000e-01 1.71081000e-02 3.50000000e-01 1.51760000e-02 3.50000000e-01 1.26193000e-02 3.50000000e-01 1.34564000e-02 3.50000000e-01 1.65051000e-02 3.50000000e-01 9.84903000e-03 3.50000000e-01 7.60320000e-03
3.60000000e-01 3.21803000e-02 3.60000000e-01 4.44246000e-02 3.60000000e-01 1.82517000e-02 3.60000000e-01 1.24497000e-02 3.60000000e-01 1.94535000e-02 3.60000000e-01 2.89724000e-02 3.60000000e-01 2.48176000e-02 3.60000000e-01 1.62438000e-02 3.60000000e-01 1.24700000e-02
3.70000000e-01 3.14912000e-02 3.70000000e-01 4.01281000e-02 3.70000000e-01 1.84504000e-02 3.70000000e-01 8.91660000e-03 3.70000000e-01 2.54982000e-02 3.70000000e-01 4.36460000e-02 3.70000000e-01 3.22461000e-02 3.70000000e-01 2.20529000e-02 3.70000000e-01 1.68862000e-02
3.80000000e-01 2.92379000e-02 3.80000000e-01 3.36104000e-02 3.80000000e-01 1.76060000e-02 3.80000000e-01 4.59841000e-03 3.80000000e-01 3.04993000e-02 3.80000000e-01 5.69663000e-02 3.80000000e-01 3.84875000e-02 3.80000000e-01 2.70473000e-02 3.80000000e-01 2.06771000e-02
3.90000000e-01 2.53591000e-02 3.90000000e-01 2.48729000e-02 3.90000000e-01 1.56538000e-02 3.90000000e-01 -4.56853000e-04 3.90000000e-01 3.42341000e-02 3.90000000e-01 6.84584000e-02 3.90000000e-01 4.32723000e-02 3.90000000e-01 3.10211000e-02 3.90000000e-01 2.36860000e-02
4.00000000e-01 1.98491000e-02 4.00000000e-01 1.39951000e-02 4.00000000e-01 1.25671000e-02 4.00000000e-01 -6.17395000e-03 4.00000000e-01 3.65193000e-02 4.00000000e-01 7.76996000e-02 4.00000000e-01 4.63745000e-02 4.00000000e-01 3.37985000e-02 4.00000000e-01 2.57789000e-02
4.10000000e-01 1.27482000e-02 4.10000000e-01 1.12234000e-03 4.10000000e-01 8.35127000e-03 4.10000000e-01 -1.24542000e-02 4.10000000e-01 3.72045000e-02 4.10000000e-01 8.43074000e-02 4.10000000e-01 4.76028000e-02 4.10000000e-01 3.52278000e-02 4.10000000e-01 2.68402000e-02
4.20000000e-01 4.17245000e-03 4.20000000e-01 -1.34978000e-02 4.20000000e-01 3.06445000e-03 4.20000000e-01 -1.91654000e-02 4.20000000e-01 3.62017000e-02 4.20000000e-01 8.79909000e-02 4.20000000e-01 4.68365000e-02 4.20000000e-01 3.52073000e-02 4.20000000e-01 2.67928000e-02
4.30000000e-01 -5.68167000e-03 4.30000000e-01 -2.95168000e-02 4.30000000e-01 -3.17636000e-03 4.30000000e-01 -2.61463000e-02 4.30000000e-01 3.35070000e-02 4.30000000e-01 8.85954000e-02 4.30000000e-01 4.40509000e-02 4.30000000e-01 3.37046000e-02 4.30000000e-01 2.56121000e-02
4.40000000e-01 -1.65766000e-02 4.40000000e-01 -4.65341000e-02 4.40000000e-01 -1.02239000e-02 4.40000000e-01 -3.32205000e-02 4.40000000e-01 2.91586000e-02 4.40000000e-01 8.60333000e-02 4.40000000e-01 3.92690000e-02 4.40000000e-01 3.07219000e-02 4.40000000e-01 2.33001000e-02
4.50000000e-01 -2.82206000e-02 4.50000000e-01 -6.40831000e-02 4.50000000e-01 -1.78903000e-02 4.50000000e-01 -4.01928000e-02 4.50000000e-01 2.32549000e-02 4.50000000e-01 8.03178000e-02 4.50000000e-01 3.25831000e-02 4.50000000e-01 2.63118000e-02 4.50000000e-01 1.98971000e-02
4.60000000e-01 -4.02738000e-02 4.60000000e-01 -8.16410000e-02 4.60000000e-01 -2.59512000e-02 4.60000000e-01 -4.68542000e-02 4.60000000e-01 1.59536000e-02 4.60000000e-01 7.15634000e-02 4.60000000e-01 2.41537000e-02 4.60000000e-01 2.05774000e-02 4.60000000e-01 1.54817000e-02
4.70000000e-01 -5.23559000e-02 4.70000000e-01 -9.86417000e-02 4.70000000e-01 -3.41504000e-02 4.70000000e-01 -5.29860000e-02 4.70000000e-01 7.46778000e-03 4.70000000e-01 5.99847000e-02 4.70000000e-01 1.42065000e-02 4.70000000e-01 1.36694000e-02 4.70000000e-01 1.01691000e-02
4.80000000e-01 -6.40567000e-02 4.80000000e-01 -1.14490000e-01 4.80000000e-01 -4.22069000e-02 4.80000000e-01 -5.83658000e-02 4.80000000e-01 -1.93923000e-03 4.80000000e-01 4.58909000e-02 4.80000000e-01 3.02676000e-03 4.80000000e-01 5.78358000e-03 4.80000000e-01 4.10838000e-03
4.90000000e-01 -7.49463000e-02 4.90000000e-01 -1.28578000e-01 4.90000000e-01 -4.98218000e-02 4.90000000e-01 -6.27727000e-02 4.90000000e-01 -1.19607000e-02 4.90000000e-01 2.96779000e-02 4.90000000e-01 -9.04802000e-03 4.90000000e-01 -2.84484000e-03 4.90000000e-01 -2.52116000e-03
5.00000000e-01 -8.45877000e-02 5.00000000e-01 -1.40303000e-01 5.00000000e-01 -5.66869000e-02 5.00000000e-01 -6.59939000e-02 5.00000000e-01 -2.22553000e-02 5.00000000e-01 1.18179000e-02 5.00000000e-01 -2.16371000e-02 5.00000000e-01 -1.19473000e-02 5.00000000e-01 -9.51494000e-03
5.10000000e-01 -9.25497000e-02 5.10000000e-01 -1.49085000e-01 5.10000000e-01 -6.24937000e-02 5.10000000e-01 -6.78304000e-02 5.10000000e-01 -3.24565000e-02 5.10000000e-01 -7.15434000e-03 5.10000000e-01 -3.43275000e-02 5.10000000e-01 -2.12294000e-02 5.10000000e-01 -1.66487000e-02
5.20000000e-01 -9.84203000e-02 5.20000000e-01 -1.54384000e-01 5.20000000e-01 -6.69429000e-02 5.20000000e-01 -6.81034000e-02 5.20000000e-01 -4.21840000e-02 5.20000000e-01 -2.66561000e-02 5.20000000e-01 -4.66856000e-02 5.20000000e-01 -3.03791000e-02 5.20000000e-01 -2.36849000e-02
5.30000000e-01 -1.01820000e-01 5.30000000e-01 -1.55723000e-01 5.30000000e-01 -6.97535000e-02 5.30000000e-01 -6.66601000e-02 5.30000000e-01 -5.10547000e-02 5.30000000e-01 -4.60741000e-02 5.30000000e-01 -5.82701000e-02 5.30000000e-01 -3.90764000e-02 5.30000000e-01 -3.03798000e-02
5.40000000e-01 -1.02414000e-01 5.40000000e-01 -1.52697000e-01 5.40000000e-01 -7.06727000e-02 5.40000000e-01 -6.33789000e-02 5.40000000e-01 -5.86950000e-02 5.40000000e-01 -6.47823000e-02 5.40000000e-01 -6.86456000e-02 5.40000000e-01 -4.70022000e-02 5.40000000e-01 -3.64903000e-02
5.50000000e-01 -9.98652000e-02 5.50000000e-01 -1.44907000e-01 5.50000000e-01 -6.94423000e-02 5.50000000e-01 -5.81384000e-02 5.50000000e-01 -6.47173000e-02 5.50000000e-01 -8.21244000e-02 5.50000000e-01 -7.73585000e-02 5.50000000e-01 -5.38230000e-02 5.50000000e-01 -4.17626000e-02
