Data_source Abs_365 Abs_offset_365
quinine_1E-4M_300ms_Abs_20230802-164205_b7ec46a3 -2.21344e-01 5.88516e-02
quinine_1E-4M_400ms_Abs_20230802-172331_7fc23daf 2.12345e-02 7.51188e-02
quinine_1E-4M_500ms_Abs_20230802-173342_d6d4df4a 2.37753e-01 7.21978e-02
quinine_2E-4M_300ms_Abs_20230802-165017_a3326354 -7.64066e-02 1.22467e-01
quinine_2E-4M_400ms_Abs_20230802-172621_e708e5a6 3.86289e-01 1.99569e-01
quinine_2E-4M_500ms_Abs_20230802-173631_d533d48b 2.06676e-01 1.15021e-01
quinine_5E-4M_300ms_Abs_20230802-165400_be41df07 1.28892e-01 3.57053e-01
quinine_5E-4M_400ms_Abs_20230802-172833_4090a498 4.61882e-01 3.76390e-01
quinine_5E-4M_500ms_Abs_20230802-173823_b5572a8a 4.28136e-01 3.40616e-01
