Data_source Abs_365 Abs_offset_365
quinine_1E-4M_300ms_Abs_20230802-180145_feab855a -1.57572e-01 7.50172e-02
quinine_1E-4M_400ms_Abs_20230802-175531_cc1c327f -1.25282e-01 7.42046e-02
quinine_1E-4M_500ms_Abs_20230802-174618_d3db72b5 9.07376e-02 8.99145e-02
quinine_2E-4M_300ms_Abs_20230802-180311_402d3d3f -6.10982e-02 1.46470e-01
quinine_2E-4M_400ms_Abs_20230802-175717_0447d410 -1.23564e-01 1.38089e-01
quinine_2E-4M_500ms_Abs_20230802-174859_6cfb7d1d 2.20540e-02 1.46218e-01
quinine_5E-4M_300ms_Abs_20230802-180445_bc7a1b17 3.04058e-01 3.82666e-01
quinine_5E-4M_400ms_Abs_20230802-175834_687b7319 9.68011e-02 3.70195e-01
quinine_5E-4M_500ms_Abs_20230802-175134_c8627045 3.32786e-01 4.05307e-01
