Data_source Simpson_integrate
quinine_1E-4M_300ms_PL_20230802-180155_bc013bd4 1.00228e+05
quinine_1E-4M_400ms_PL_20230802-175539_9a514f11 1.46868e+05
quinine_1E-4M_500ms_PL_20230802-174630_eebe331f 1.96055e+05
quinine_2E-4M_300ms_PL_20230802-180319_48fd1664 2.07045e+05
quinine_2E-4M_400ms_PL_20230802-175726_e3124f23 2.79153e+05
quinine_2E-4M_500ms_PL_20230802-174909_a15e5192 3.43488e+05
quinine_5E-4M_300ms_PL_20230802-180457_13f94732 3.78046e+05
quinine_5E-4M_400ms_PL_20230802-175847_b62eaffd 5.23208e+05
quinine_5E-4M_500ms_PL_20230802-175143_1bdeebdd 6.40529e+05
