Data_source Simpson_integrate
quinine_1E-4M_300ms_PL_20230802-164522_8893342e 1.10214e+05
quinine_1E-4M_400ms_PL_20230802-172345_50db5e60 1.47919e+05
quinine_1E-4M_500ms_PL_20230802-173408_09b42f42 1.75235e+05
quinine_2E-4M_300ms_PL_20230802-165108_211148e0 1.96360e+05
quinine_2E-4M_400ms_PL_20230802-172631_06f28914 2.58291e+05
quinine_2E-4M_500ms_PL_20230802-173643_a63544b0 3.19874e+05
quinine_5E-4M_300ms_PL_20230802-165414_06a0fa5e 3.84497e+05
quinine_5E-4M_400ms_PL_20230802-172843_fb6c7b8b 4.68573e+05
quinine_5E-4M_500ms_PL_20230802-173834_58463f82 5.88011e+05
