CsPb(OA)3 TOABr ZnCl2 OAm_Tol Peak_nm FWHM_nm PLQY OAm_frac Total R_time_sec Cl_Pb OA_frac total_rate_round R_time_round OAm_frac_round Cl_Pb_round
3.57500000e+01 1.07250000e+02 2.68099995e+01 1.01899996e+01 4.97220001e+02 2.17600002e+01 1.12899995e+00 2.99999993e-02 1.80000000e+02 1.62149994e+02 7.50000000e-01 1.29999995e-01 1.80000000e+02 1.62000000e+02 3.00000000e-02 7.50000000e-01
3.89599991e+01 1.16879997e+02 1.16899996e+01 1.24700003e+01 5.07119995e+02 2.27099991e+01 8.57999980e-01 2.99999993e-02 1.80000000e+02 1.62149994e+02 3.00000012e-01 1.40000001e-01 1.80000000e+02 1.62000000e+02 3.00000000e-02 3.00000000e-01
1.97999992e+01 5.94000015e+01 8.90999985e+01 1.16999998e+01 4.43380005e+02 1.77299995e+01 4.23000008e-01 5.00000007e-02 1.80000000e+02 1.62149994e+02 4.50000000e+00 7.00000003e-02 1.80000000e+02 1.62000000e+02 5.00000000e-02 4.50000000e+00
2.36599998e+01 7.09800034e+01 7.09800034e+01 1.43800001e+01 4.56339996e+02 1.93099995e+01 7.76000023e-01 5.00000007e-02 1.80000000e+02 1.62149994e+02 3.00000000e+00 9.00000036e-02 1.80000000e+02 1.62000000e+02 5.00000000e-02 3.00000000e+00
2.93799992e+01 8.81399994e+01 4.40699997e+01 1.84099998e+01 4.79529999e+02 2.32900009e+01 7.78999984e-01 5.00000007e-02 1.80000000e+02 1.62149994e+02 1.50000000e+00 1.09999999e-01 1.80000000e+02 1.62000000e+02 5.00000000e-02 1.50000000e+00
3.34199982e+01 1.00260002e+02 2.50699997e+01 2.12600002e+01 4.98489990e+02 2.66800003e+01 1.02499998e+00 5.00000007e-02 1.80000000e+02 1.62149994e+02 7.50000000e-01 1.19999997e-01 1.80000000e+02 1.62000000e+02 5.00000000e-02 7.50000000e-01
3.64199982e+01 1.09260002e+02 1.09300003e+01 2.33899994e+01 5.09200012e+02 2.22500000e+01 6.85000002e-01 5.00000007e-02 1.80000000e+02 1.62149994e+02 3.00000012e-01 1.29999995e-01 1.80000000e+02 1.62000000e+02 5.00000000e-02 3.00000000e-01
1.84200001e+01 5.52599983e+01 8.28899994e+01 2.34300003e+01 4.41489990e+02 2.31700001e+01 4.14000005e-01 7.00000003e-02 1.80000000e+02 1.62149994e+02 4.50000000e+00 7.00000003e-02 1.80000000e+02 1.62000000e+02 7.00000000e-02 4.50000000e+00
2.20100002e+01 6.60299988e+01 6.60299988e+01 2.59300003e+01 4.58690002e+02 3.76699982e+01 4.46999997e-01 7.00000003e-02 1.80000000e+02 1.62149994e+02 3.00000000e+00 7.99999982e-02 1.80000000e+02 1.62000000e+02 7.00000000e-02 3.00000000e+00
2.73400002e+01 8.20199966e+01 4.10099983e+01 2.96299992e+01 4.75200012e+02 3.54099998e+01 6.16999984e-01 7.00000003e-02 1.80000000e+02 1.62149994e+02 1.50000000e+00 1.00000001e-01 1.80000000e+02 1.62000000e+02 7.00000000e-02 1.50000000e+00
3.10900002e+01 9.32699966e+01 2.33199997e+01 3.23199997e+01 4.95369995e+02 3.05400009e+01 8.41000021e-01 7.00000003e-02 1.80000000e+02 1.62149994e+02 7.50000000e-01 1.19999997e-01 1.80000000e+02 1.62000000e+02 7.00000000e-02 7.50000000e-01
3.38899994e+01 1.01669998e+02 1.01700001e+01 3.42700005e+01 5.08709991e+02 2.20000000e+01 9.08999979e-01 7.00000003e-02 1.80000000e+02 1.62149994e+02 3.00000012e-01 1.29999995e-01 1.80000000e+02 1.62000000e+02 7.00000000e-02 3.00000000e-01
3.17700005e+01 9.53000031e+01 1.42940002e+02 0.00000000e+00 4.45899994e+02 2.00799999e+01 6.25000000e-01 2.99999993e-02 2.70000000e+02 1.08099998e+02 4.50000000e+00 7.99999982e-02 2.70000000e+02 1.08000000e+02 3.00000000e-02 4.50000000e+00
3.79500008e+01 1.13849998e+02 1.13849998e+02 4.34999990e+00 4.55399994e+02 2.05100002e+01 5.78999996e-01 2.99999993e-02 2.70000000e+02 1.08099998e+02 3.00000000e+00 9.00000036e-02 2.70000000e+02 1.08000000e+02 3.00000000e-02 3.00000000e+00
4.71500015e+01 1.41449997e+02 7.07300034e+01 1.06800003e+01 4.80679993e+02 2.39699993e+01 9.53000009e-01 2.99999993e-02 2.70000000e+02 1.08099998e+02 1.50000000e+00 1.19999997e-01 2.70000000e+02 1.08000000e+02 3.00000000e-02 1.50000000e+00
5.35999985e+01 1.60800003e+02 4.02000008e+01 1.53999996e+01 4.96190002e+02 2.28799992e+01 6.39999986e-01 2.99999993e-02 2.70000000e+02 1.08099998e+02 7.50000000e-01 1.29999995e-01 2.70000000e+02 1.08000000e+02 3.00000000e-02 7.50000000e-01
5.84500008e+01 1.75350006e+02 1.75400009e+01 1.86700001e+01 5.08149994e+02 2.31900005e+01 6.91999972e-01 2.99999993e-02 2.70000000e+02 1.08099998e+02 3.00000012e-01 1.40000001e-01 2.70000000e+02 1.08000000e+02 3.00000000e-02 3.00000000e-01
