Wavelength Dark Reference Sample Absorbance
2.60911e+02 2.18611e+01 1.89459e+04 6.54147e+03 4.62208e-01
2.61708e+02 1.91944e+01 1.87935e+04 8.76625e+03 3.33314e-01
2.62505e+02 2.08611e+01 1.85936e+04 1.11544e+04 2.20206e-01
2.63301e+02 1.78611e+01 1.83728e+04 1.34567e+04 1.36062e-01
2.64098e+02 1.86389e+01 1.81462e+04 1.54537e+04 6.87845e-02
2.64895e+02 2.10833e+01 1.78742e+04 1.68867e+04 2.64485e-02
2.65691e+02 1.84167e+01 1.75621e+04 1.79532e+04 -9.71849e-03
2.66488e+02 1.93056e+01 1.72441e+04 1.86095e+04 -3.42807e-02
2.67284e+02 1.88611e+01 1.69793e+04 1.90336e+04 -4.82500e-02
2.68081e+02 1.99722e+01 1.68454e+04 1.92554e+04 -5.90876e-02
2.68877e+02 2.19722e+01 1.67725e+04 1.93855e+04 -6.36655e-02
2.69673e+02 1.98611e+01 1.66054e+04 1.92836e+04 -6.42450e-02
2.70469e+02 1.84167e+01 1.63625e+04 1.90145e+04 -6.47277e-02
2.71265e+02 1.88611e+01 1.59904e+04 1.85836e+04 -6.58551e-02
2.72062e+02 1.89722e+01 1.55486e+04 1.79465e+04 -6.34880e-02
2.72857e+02 2.05278e+01 1.49074e+04 1.70724e+04 -5.95051e-02
2.73653e+02 1.96389e+01 1.40981e+04 1.60198e+04 -5.54181e-02
2.74449e+02 2.08611e+01 1.31041e+04 1.48321e+04 -5.39418e-02
2.75245e+02 2.03056e+01 1.20521e+04 1.34979e+04 -4.81568e-02
2.76041e+02 1.87500e+01 1.10524e+04 1.22211e+04 -4.34306e-02
2.76836e+02 1.99722e+01 1.02891e+04 1.12711e+04 -3.73704e-02
2.77632e+02 2.08611e+01 9.98083e+03 1.08164e+04 -3.55715e-02
2.78427e+02 2.05278e+01 1.01784e+04 1.09341e+04 -3.17785e-02
2.79223e+02 1.77500e+01 1.06728e+04 1.13165e+04 -2.65066e-02
2.80018e+02 1.65278e+01 1.10112e+04 1.15848e+04 -2.20878e-02
2.80813e+02 2.00833e+01 1.09846e+04 1.14127e+04 -1.77082e-02
2.81609e+02 1.78611e+01 1.04876e+04 1.07375e+04 -8.88651e-03
2.82404e+02 1.91944e+01 9.67539e+03 9.78958e+03 -5.01785e-03
2.83199e+02 1.79722e+01 9.41161e+03 9.34581e+03 7.70506e-04
2.83994e+02 2.11944e+01 1.07582e+04 1.05695e+04 7.18293e-03
2.84789e+02 2.05278e+01 1.27817e+04 1.24170e+04 1.18985e-02
2.85584e+02 1.95278e+01 1.39853e+04 1.34545e+04 1.76705e-02
2.86379e+02 2.13056e+01 1.44766e+04 1.37380e+04 2.45643e-02
2.87173e+02 1.81944e+01 1.46762e+04 1.37386e+04 2.91397e-02
2.87968e+02 2.01944e+01 1.47642e+04 1.35515e+04 3.67770e-02
2.88763e+02 1.78611e+01 1.47383e+04 1.33067e+04 4.35342e-02
2.89557e+02 2.21944e+01 1.45803e+04 1.29822e+04 5.28010e-02
2.90352e+02 2.05278e+01 1.44749e+04 1.26601e+04 6.04954e-02
2.91146e+02 2.03056e+01 1.44557e+04 1.23685e+04 6.57229e-02
2.91940e+02 2.17500e+01 1.44928e+04 1.21554e+04 7.61970e-02
2.92735e+02 2.01944e+01 1.45485e+04 1.19998e+04 8.38769e-02
2.93529e+02 1.93056e+01 1.46749e+04 1.18335e+04 9.21772e-02
2.94323e+02 2.04167e+01 1.47542e+04 1.16541e+04 1.02051e-01
2.95117e+02 2.10833e+01 1.46807e+04 1.13641e+04 1.11732e-01
2.95911e+02 2.14167e+01 1.45834e+04 1.10145e+04 1.21617e-01
2.96705e+02 1.94167e+01 1.43264e+04 1.05806e+04 1.29457e-01
2.97499e+02 2.03056e+01 1.39431e+04 1.00395e+04 1.41760e-01
2.98293e+02 1.89722e+01 1.35288e+04 9.49047e+03 1.55301e-01
2.99086e+02 2.18611e+01 1.29803e+04 8.92925e+03 1.65527e-01
2.99880e+02 1.96389e+01 1.24288e+04 8.33681e+03 1.74908e-01
3.00673e+02 1.80833e+01 1.18248e+04 7.74181e+03 1.83439e-01
