Wavelength Dark Reference Sample Absorbance
2.59317e+02 -2.91667e-01 4.43097e+02 2.81181e+02 1.97349e-01
2.60114e+02 -7.36111e-01 4.50319e+02 2.76847e+02 2.10837e-01
2.60911e+02 3.75000e-01 4.49431e+02 2.76403e+02 2.11347e-01
2.61708e+02 -1.06944e+00 4.62208e+02 2.76736e+02 2.22101e-01
2.62505e+02 -4.02778e-01 4.76542e+02 2.73514e+02 2.40849e-01
2.63301e+02 -1.40278e+00 4.86986e+02 2.87847e+02 2.27492e-01
2.64098e+02 -4.02778e-01 5.01319e+02 2.91403e+02 2.35370e-01
2.64895e+02 -1.62500e+00 5.20653e+02 2.92181e+02 2.49842e-01
2.65691e+02 -5.13889e-01 5.42875e+02 2.99514e+02 2.57949e-01
2.66488e+02 -4.02778e-01 5.65431e+02 3.13736e+02 2.55567e-01
2.67284e+02 -5.13889e-01 5.90208e+02 3.24181e+02 2.59908e-01
2.68081e+02 1.52778e-01 6.16875e+02 3.31403e+02 2.69934e-01
2.68877e+02 -1.06944e+00 6.42431e+02 3.44514e+02 2.69996e-01
2.69673e+02 4.16667e-02 6.74986e+02 3.59847e+02 2.73200e-01
2.70469e+02 -4.02778e-01 6.95431e+02 3.70736e+02 2.72969e-01
2.71265e+02 2.63889e-01 7.20208e+02 3.81958e+02 2.75583e-01
2.72062e+02 -9.58333e-01 7.44097e+02 3.96736e+02 2.72639e-01
2.72857e+02 7.08333e-01 7.76653e+02 4.08403e+02 2.79496e-01
2.73653e+02 -6.25000e-01 8.08542e+02 4.21514e+02 2.82583e-01
2.74449e+02 9.30556e-01 8.35431e+02 4.34625e+02 2.84242e-01
2.75245e+02 1.52778e-01 8.72319e+02 4.49625e+02 2.87897e-01
2.76041e+02 5.97222e-01 9.05875e+02 4.61403e+02 2.93264e-01
2.76836e+02 -6.25000e-01 9.37764e+02 4.84069e+02 2.86915e-01
2.77632e+02 4.16667e-02 9.68986e+02 4.96181e+02 2.90696e-01
2.78427e+02 -1.80556e-01 9.97542e+02 5.12736e+02 2.88963e-01
2.79223e+02 -2.91667e-01 1.04643e+03 5.29958e+02 2.95351e-01
2.80018e+02 -4.02778e-01 1.13954e+03 5.73292e+02 2.98203e-01
2.80813e+02 -1.80556e-01 1.39765e+03 6.54403e+02 3.29490e-01
2.81609e+02 -5.13889e-01 1.95321e+03 8.12069e+02 3.80995e-01
2.82404e+02 -1.06944e+00 2.87610e+03 1.10207e+03 4.16335e-01
2.83199e+02 3.75000e-01 4.30888e+03 1.53718e+03 4.47707e-01
2.83994e+02 -1.29167e+00 6.44499e+03 2.22585e+03 4.61562e-01
2.84789e+02 4.16667e-02 9.03243e+03 3.07762e+03 4.67593e-01
2.85584e+02 -5.13889e-01 1.13664e+04 3.89940e+03 4.64588e-01
2.86379e+02 -1.06944e+00 1.31220e+04 4.57918e+03 4.57146e-01
2.87173e+02 -1.80556e-01 1.43733e+04 5.13262e+03 4.47208e-01
2.87968e+02 -2.91667e-01 1.52677e+04 5.56640e+03 4.38183e-01
2.88763e+02 -1.40278e+00 1.58837e+04 5.92740e+03 4.28022e-01
2.89557e+02 -1.51389e+00 1.63102e+04 6.22462e+03 4.18281e-01
2.90352e+02 -1.80556e-01 1.66711e+04 6.51807e+03 4.07838e-01
2.91146e+02 -2.91667e-01 1.70375e+04 6.83585e+03 3.96603e-01
2.91940e+02 -4.02778e-01 1.74137e+04 7.19996e+03 3.83546e-01
2.92735e+02 2.63889e-01 1.78809e+04 7.54096e+03 3.74971e-01
2.93529e+02 -8.47222e-01 1.82761e+04 7.93962e+03 3.62057e-01
2.94323e+02 -1.40278e+00 1.86685e+04 8.29118e+03 3.52453e-01
2.95117e+02 -9.58333e-01 1.88985e+04 8.57396e+03 3.43220e-01
2.95911e+02 -6.25000e-01 1.89412e+04 8.81396e+03 3.32220e-01
2.96705e+02 -2.91667e-01 1.87923e+04 8.98040e+03 3.20677e-01
2.97499e+02 -2.91667e-01 1.85388e+04 8.99474e+03 3.14085e-01
2.98293e+02 -6.25000e-01 1.81192e+04 8.97540e+03 3.05070e-01
2.99086e+02 -1.40278e+00 1.75755e+04 8.87074e+03 2.96915e-01
2.99880e+02 -4.02778e-01 1.69548e+04 8.71562e+03 2.88983e-01
3.00673e+02 -6.94444e-02 1.63170e+04 8.51018e+03 2.82699e-01
3.01467e+02 4.16667e-02 1.55650e+04 8.25418e+03 2.75476e-01
3.02260e+02 -7.36111e-01 1.48800e+04 8.02485e+03 2.68147e-01
3.03054e+02 -9.58333e-01 1.43535e+04 7.89085e+03 2.59812e-01
3.03847e+02 -8.47222e-01 1.42062e+04 7.87940e+03 2.55964e-01
3.04640e+02 -6.94444e-02 1.43837e+04 8.08962e+03 2.49939e-01
3.05433e+02 3.75000e-01 1.48964e+04 8.45262e+03 2.46099e-01
3.06227e+02 4.86111e-01 1.55248e+04 8.89451e+03 2.41913e-01
3.07020e+02 -1.62500e+00 1.59494e+04 9.24040e+03 2.37022e-01
3.07813e+02 -1.80556e-01 1.59998e+04 9.40140e+03 2.30917e-01
3.08605e+02 -2.91667e-01 1.56511e+04 9.24707e+03 2.28535e-01
3.09398e+02 5.97222e-01 1.48461e+04 8.87962e+03 2.23229e-01
3.10191e+02 4.16667e-02 1.42282e+04 8.55351e+03 2.21006e-01
3.10984e+02 3.75000e-01 1.42353e+04 8.62829e+03 2.17450e-01
3.11776e+02 -1.80556e-01 1.51188e+04 9.21874e+03 2.14842e-01
3.12569e+02 -4.02778e-01 1.61769e+04 9.91874e+03 2.12431e-01
3.13361e+02 1.52778e-01 1.70152e+04 1.04813e+04 2.10425e-01
3.14154e+02 -1.18056e+00 1.74655e+04 1.07895e+04 2.09162e-01
3.14946e+02 3.75000e-01 1.75858e+04 1.09657e+04 2.05129e-01
3.15738e+02 -1.84722e+00 1.75488e+04 1.09718e+04 2.03939e-01
3.16530e+02 4.16667e-02 1.73177e+04 1.09081e+04 2.00742e-01
3.17323e+02 -1.84722e+00 1.69687e+04 1.07448e+04 1.98420e-01
3.18115e+02 -9.58333e-01 1.65543e+04 1.05035e+04 1.97562e-01
3.18907e+02 -7.36111e-01 1.61331e+04 1.02885e+04 1.95354e-01
3.19698e+02 -6.94444e-02 1.56418e+04 1.00210e+04 1.93375e-01
3.20490e+02 -4.02778e-01 1.52354e+04 9.81351e+03 1.91024e-01
3.21282e+02 5.97222e-01 1.49481e+04 9.65485e+03 1.89850e-01
3.22074e+02 4.86111e-01 1.47510e+04 9.56651e+03 1.88075e-01
3.22865e+02 -2.91667e-01 1.46473e+04 9.53451e+03 1.86455e-01
3.23657e+02 -1.80556e-01 1.46793e+04 9.56807e+03 1.85879e-01
3.24448e+02 -5.13889e-01 1.47335e+04 9.68018e+03 1.82416e-01
3.25240e+02 -5.13889e-01 1.48854e+04 9.78218e+03 1.82318e-01
3.26031e+02 -8.47222e-01 1.49983e+04 9.86696e+03 1.81847e-01
3.26823e+02 -1.84722e+00 1.50471e+04 9.90340e+03 1.81641e-01
3.27614e+02 -7.36111e-01 1.49488e+04 9.89862e+03 1.79020e-01
3.28405e+02 -5.13889e-01 1.49218e+04 9.91340e+03 1.77590e-01
3.29196e+02 -5.13889e-01 1.49601e+04 9.93485e+03 1.77766e-01
3.29987e+02 1.26389e+00 1.51191e+04 1.00694e+04 1.76540e-01
3.30778e+02 -1.29167e+00 1.54248e+04 1.03206e+04 1.74495e-01
3.31569e+02 -1.80556e-01 1.57527e+04 1.05392e+04 1.74544e-01
3.32360e+02 -5.13889e-01 1.59728e+04 1.07586e+04 1.71617e-01
3.33150e+02 -4.02778e-01 1.60168e+04 1.08004e+04 1.71130e-01
3.33941e+02 -5.13889e-01 1.59429e+04 1.07914e+04 1.69482e-01
3.34731e+02 1.48611e+00 1.58481e+04 1.07670e+04 1.67903e-01
3.35522e+02 3.75000e-01 1.58261e+04 1.07830e+04 1.66641e-01
3.36312e+02 3.75000e-01 1.59867e+04 1.09636e+04 1.63808e-01
3.37103e+02 -8.47222e-01 1.62210e+04 1.11341e+04 1.63413e-01
3.37893e+02 -7.36111e-01 1.64409e+04 1.13593e+04 1.60565e-01
3.38683e+02 -2.91667e-01 1.65383e+04 1.14270e+04 1.60557e-01
3.39473e+02 4.16667e-02 1.64198e+04 1.14240e+04 1.57551e-01
3.40264e+02 -6.94444e-02 1.62711e+04 1.13600e+04 1.56039e-01
3.41054e+02 -4.02778e-01 1.60911e+04 1.12821e+04 1.54192e-01
3.41844e+02 3.75000e-01 1.57672e+04 1.11148e+04 1.51856e-01
3.42633e+02 1.52778e-01 1.54377e+04 1.08952e+04 1.51349e-01
3.43423e+02 -1.51389e+00 1.50420e+04 1.06955e+04 1.48086e-01
3.44213e+02 5.97222e-01 1.46639e+04 1.04712e+04 1.46260e-01
3.45003e+02 1.15278e+00 1.43624e+04 1.02917e+04 1.44753e-01
3.45792e+02 -8.47222e-01 1.41238e+04 1.01692e+04 1.42654e-01
3.46582e+02 -6.94444e-02 1.39490e+04 1.00833e+04 1.40939e-01
3.47371e+02 -4.02778e-01 1.38492e+04 1.00524e+04 1.39150e-01
3.48161e+02 -7.36111e-01 1.38095e+04 1.00822e+04 1.36616e-01
3.48950e+02 -2.91667e-01 1.36809e+04 1.00300e+04 1.34811e-01
3.49739e+02 -1.29167e+00 1.36079e+04 1.00001e+04 1.33772e-01
3.50528e+02 -1.73611e+00 1.34587e+04 9.98474e+03 1.29646e-01
3.51317e+02 4.86111e-01 1.32573e+04 9.88351e+03 1.27550e-01
3.52106e+02 -1.40278e+00 1.30535e+04 9.75540e+03 1.26467e-01
3.52895e+02 1.52778e-01 1.27682e+04 9.57951e+03 1.24788e-01
3.53684e+02 1.52778e-01 1.25148e+04 9.43940e+03 1.22480e-01
3.54473e+02 -7.36111e-01 1.23188e+04 9.34185e+03 1.20126e-01
3.55262e+02 -2.91667e-01 1.22593e+04 9.32951e+03 1.18604e-01
