Wavelength Dark Reference Sample Absorbance
2.59317e+02 -5.41667e-01 3.03941e+04 3.82872e+03 8.99682e-01
2.60114e+02 -2.43056e+00 3.07400e+04 5.44383e+03 7.51639e-01
2.60911e+02 1.38889e-02 3.08827e+04 7.62094e+03 6.07706e-01
2.61708e+02 -6.52778e-01 3.09837e+04 1.02166e+04 4.81807e-01
2.62505e+02 -3.19444e-01 3.10862e+04 1.30373e+04 3.77375e-01
2.63301e+02 -9.72222e-02 3.11188e+04 1.58377e+04 2.93328e-01
2.64098e+02 6.80556e-01 3.10808e+04 1.82767e+04 2.30600e-01
2.64895e+02 -3.19444e-01 3.09221e+04 2.02219e+04 1.84444e-01
2.65691e+02 -5.41667e-01 3.07112e+04 2.17283e+04 1.50268e-01
2.66488e+02 3.47222e-01 3.05792e+04 2.27686e+04 1.28091e-01
2.67284e+02 -9.86111e-01 3.04774e+04 2.35116e+04 1.12692e-01
2.68081e+02 7.91667e-01 3.05445e+04 2.40736e+04 1.03395e-01
2.68877e+02 3.47222e-01 3.05058e+04 2.43642e+04 9.76316e-02
2.69673e+02 -1.09722e+00 3.04058e+04 2.44801e+04 9.41397e-02
2.70469e+02 -6.52778e-01 3.01874e+04 2.43348e+04 9.35955e-02
2.71265e+02 2.36111e-01 2.97249e+04 2.39537e+04 9.37479e-02
2.72062e+02 -2.08333e-01 2.89314e+04 2.32873e+04 9.42504e-02
2.72857e+02 1.25000e-01 2.78860e+04 2.23266e+04 9.65637e-02
2.73653e+02 -3.19444e-01 2.65641e+04 2.11413e+04 9.91625e-02
2.74449e+02 6.80556e-01 2.48309e+04 1.96391e+04 1.01875e-01
2.75245e+02 -7.63889e-01 2.30371e+04 1.80687e+04 1.05496e-01
2.76041e+02 -2.09722e+00 2.13639e+04 1.66406e+04 1.08499e-01
2.76836e+02 -3.19444e-01 2.01840e+04 1.55806e+04 1.12420e-01
2.77632e+02 -1.09722e+00 1.98473e+04 1.51376e+04 1.17637e-01
2.78427e+02 -2.08333e-01 2.02155e+04 1.52968e+04 1.21082e-01
2.79223e+02 -1.09722e+00 2.10310e+04 1.57848e+04 1.24612e-01
2.80018e+02 5.69444e-01 2.16790e+04 1.60788e+04 1.29788e-01
2.80813e+02 -4.30556e-01 2.15740e+04 1.58066e+04 1.35088e-01
2.81609e+02 -1.20833e+00 2.07170e+04 1.49786e+04 1.40845e-01
2.82404e+02 -8.75000e-01 1.95423e+04 1.39776e+04 1.45535e-01
2.83199e+02 -6.52778e-01 1.95390e+04 1.37363e+04 1.53027e-01
2.83994e+02 2.36111e-01 2.20027e+04 1.53256e+04 1.57059e-01
2.84789e+02 1.01389e+00 2.56504e+04 1.76516e+04 1.62318e-01
2.85584e+02 -7.63889e-01 2.82223e+04 1.91642e+04 1.68097e-01
2.86379e+02 4.58333e-01 2.94454e+04 1.97223e+04 1.74064e-01
2.87173e+02 -9.86111e-01 2.99053e+04 1.98036e+04 1.78997e-01
2.87968e+02 -4.30556e-01 3.01450e+04 1.96267e+04 1.86364e-01
2.88763e+02 -4.30556e-01 3.01733e+04 1.93121e+04 1.93791e-01
2.89557e+02 -2.08333e-01 3.00425e+04 1.89125e+04 2.00986e-01
2.90352e+02 -5.41667e-01 2.99112e+04 1.84816e+04 2.09089e-01
2.91146e+02 -6.52778e-01 2.99693e+04 1.81922e+04 2.16786e-01
2.91940e+02 -3.19444e-01 3.00981e+04 1.78981e+04 2.25730e-01
2.92735e+02 -5.41667e-01 3.03525e+04 1.77267e+04 2.33561e-01
2.93529e+02 -2.08333e-01 3.06310e+04 1.75196e+04 2.42634e-01
2.94323e+02 2.36111e-01 3.07787e+04 1.72467e+04 2.51546e-01
2.95117e+02 -2.08333e-01 3.07983e+04 1.69136e+04 2.60288e-01
2.95911e+02 6.80556e-01 3.05310e+04 1.64041e+04 2.69798e-01
2.96705e+02 -4.30556e-01 3.00015e+04 1.57715e+04 2.79265e-01
2.97499e+02 -2.08333e-01 2.93049e+04 1.50386e+04 2.89729e-01
2.98293e+02 -1.43056e+00 2.83781e+04 1.42302e+04 2.99752e-01
2.99086e+02 -1.43056e+00 2.73167e+04 1.33784e+04 3.10000e-01
2.99880e+02 -1.54167e+00 2.61547e+04 1.25055e+04 3.20420e-01
3.00673e+02 2.36111e-01 2.49352e+04 1.16522e+04 3.30411e-01
3.01467e+02 -9.72222e-02 2.36119e+04 1.08138e+04 3.39149e-01
3.02260e+02 -5.41667e-01 2.24385e+04 9.99883e+03 3.51032e-01
3.03054e+02 -4.30556e-01 2.14968e+04 9.39506e+03 3.59463e-01
3.03847e+02 1.25000e-01 2.11155e+04 8.99528e+03 3.70591e-01
3.04640e+02 -7.63889e-01 2.12141e+04 8.84717e+03 3.79798e-01
3.05433e+02 -6.52778e-01 2.18351e+04 8.92417e+03 3.88569e-01
3.06227e+02 -3.19444e-01 2.27225e+04 9.08717e+03 3.98019e-01
3.07020e+02 2.36111e-01 2.32772e+04 9.12717e+03 4.06602e-01
3.07813e+02 -3.19444e-01 2.33833e+04 8.98706e+03 4.15279e-01
3.08605e+02 -2.08333e-01 2.28063e+04 8.60594e+03 4.23250e-01
3.09398e+02 1.25000e-01 2.16343e+04 7.99161e+03 4.32513e-01
3.10191e+02 -7.63889e-01 2.05363e+04 7.44139e+03 4.40840e-01
3.10984e+02 -9.72222e-02 2.04233e+04 7.27128e+03 4.48512e-01
3.11776e+02 -1.76389e+00 2.15168e+04 7.53817e+03 4.55445e-01
3.12569e+02 5.69444e-01 2.30854e+04 7.97528e+03 4.61612e-01
3.13361e+02 -1.43056e+00 2.42843e+04 8.26694e+03 4.67931e-01
3.14154e+02 1.38889e-02 2.49205e+04 8.41106e+03 4.71707e-01
3.14946e+02 4.58333e-01 2.51144e+04 8.39972e+03 4.75674e-01
3.15738e+02 2.36111e-01 2.49947e+04 8.34628e+03 4.76362e-01
3.16530e+02 -4.30556e-01 2.46681e+04 8.19794e+03 4.78415e-01
3.17323e+02 -7.63889e-01 2.41454e+04 8.05006e+03 4.77009e-01
3.18115e+02 -1.54167e+00 2.34612e+04 7.83572e+03 4.76214e-01
