Wavelength Dark Reference Sample Absorbance
2.59317e+02 1.72089e+03 2.01100e+03 2.07417e+02 1.86367e-01
2.60114e+02 1.72500e+03 2.01922e+03 2.10861e+02 1.91937e-01
2.60911e+02 1.72433e+03 2.02733e+03 2.06639e+02 2.10166e-01
2.61708e+02 1.72344e+03 2.03800e+03 2.11972e+02 1.91688e-01
2.62505e+02 1.72489e+03 2.05178e+03 2.12417e+02 2.10018e-01
2.63301e+02 1.72133e+03 2.05711e+03 2.15861e+02 2.05449e-01
2.64098e+02 1.72111e+03 2.06522e+03 2.20972e+02 2.26397e-01
2.64895e+02 1.72511e+03 2.08311e+03 2.28639e+02 2.15075e-01
2.65691e+02 1.71956e+03 2.09967e+03 2.31083e+02 2.36723e-01
2.66488e+02 1.72322e+03 2.11433e+03 2.39750e+02 2.34832e-01
2.67284e+02 1.72144e+03 2.12733e+03 2.45750e+02 2.39983e-01
2.68081e+02 1.72422e+03 2.14911e+03 2.54194e+02 2.56423e-01
2.68877e+02 1.72456e+03 2.16300e+03 2.62528e+02 2.60310e-01
2.69673e+02 1.72111e+03 2.17744e+03 2.70417e+02 2.57295e-01
2.70469e+02 1.72200e+03 2.19911e+03 2.78417e+02 2.52969e-01
2.71265e+02 1.72367e+03 2.22722e+03 2.83083e+02 2.70097e-01
2.72062e+02 1.72433e+03 2.24211e+03 2.95861e+02 2.77511e-01
2.72857e+02 1.72522e+03 2.26422e+03 3.12528e+02 2.78459e-01
2.73653e+02 1.72189e+03 2.28267e+03 3.15528e+02 2.69872e-01
2.74449e+02 1.72322e+03 2.31200e+03 3.27639e+02 2.75049e-01
2.75245e+02 1.72367e+03 2.32922e+03 3.36639e+02 2.72726e-01
2.76041e+02 1.72267e+03 2.34822e+03 3.42194e+02 2.82750e-01
2.76836e+02 1.72278e+03 2.38333e+03 3.57972e+02 2.96161e-01
2.77632e+02 1.72478e+03 2.43278e+03 3.85417e+02 2.88141e-01
2.78427e+02 1.72456e+03 2.57589e+03 4.38083e+02 3.00620e-01
2.79223e+02 1.72056e+03 2.98500e+03 5.81083e+02 3.57789e-01
2.80018e+02 1.72011e+03 3.81489e+03 8.82639e+02 3.75515e-01
2.80813e+02 1.72522e+03 4.90400e+03 1.27186e+03 4.02219e-01
2.81609e+02 1.72411e+03 5.88511e+03 1.63675e+03 4.09387e-01
2.82404e+02 1.72456e+03 6.56033e+03 1.87719e+03 4.20176e-01
2.83199e+02 1.71989e+03 7.28578e+03 2.11031e+03 4.25313e-01
2.83994e+02 1.72444e+03 8.69467e+03 2.66308e+03 4.20203e-01
2.84789e+02 1.72678e+03 1.04433e+04 3.32853e+03 4.20092e-01
2.85584e+02 1.72389e+03 1.17157e+04 3.83642e+03 4.15236e-01
2.86379e+02 1.72478e+03 1.24736e+04 4.17497e+03 4.13715e-01
2.87173e+02 1.72556e+03 1.29284e+04 4.38742e+03 4.08936e-01
2.87968e+02 1.72489e+03 1.31973e+04 4.59108e+03 3.99607e-01
2.88763e+02 1.72256e+03 1.33383e+04 4.73042e+03 3.92411e-01
2.89557e+02 1.72744e+03 1.34006e+04 4.85208e+03 3.82274e-01
2.90352e+02 1.72500e+03 1.34367e+04 5.01008e+03 3.69675e-01
2.91146e+02 1.72478e+03 1.35561e+04 5.12597e+03 3.66101e-01
2.91940e+02 1.72644e+03 1.36980e+04 5.31786e+03 3.54581e-01
2.92735e+02 1.72478e+03 1.38972e+04 5.49964e+03 3.48052e-01
2.93529e+02 1.72433e+03 1.40933e+04 5.73408e+03 3.33243e-01
2.94323e+02 1.72433e+03 1.42509e+04 5.92486e+03 3.27557e-01
2.95117e+02 1.72467e+03 1.43357e+04 6.05086e+03 3.21304e-01
2.95911e+02 1.72589e+03 1.43004e+04 6.14364e+03 3.11031e-01
2.96705e+02 1.72333e+03 1.41796e+04 6.16508e+03 3.09987e-01
