x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
2.20178586e+02 5.59338172e-01 2.20178586e+02 8.99882867e-01 2.20178586e+02 9.54213877e-01 2.20178586e+02 1.12416715e+00 2.20178586e+02 1.65984335e+00 2.20178586e+02 1.35731157e+00
2.20978925e+02 5.54499439e-01 2.20978925e+02 8.91359727e-01 2.20978925e+02 9.49849888e-01 2.20978925e+02 1.12867318e+00 2.20978925e+02 1.67435787e+00 2.20978925e+02 1.39296863e+00
2.21779198e+02 5.48242464e-01 2.21779198e+02 8.80052033e-01 2.21779198e+02 9.43050564e-01 2.21779198e+02 1.12876769e+00 2.21779198e+02 1.68480537e+00 2.21779198e+02 1.43446538e+00
2.22579404e+02 5.40880321e-01 2.22579404e+02 8.68149029e-01 2.22579404e+02 9.31532941e-01 2.22579404e+02 1.12525049e+00 2.22579404e+02 1.69332723e+00 2.22579404e+02 1.47258718e+00
2.23379544e+02 5.32158820e-01 2.23379544e+02 8.55010075e-01 2.23379544e+02 9.15443601e-01 2.23379544e+02 1.11368486e+00 2.23379544e+02 1.69019346e+00 2.23379544e+02 1.50445435e+00
2.24179618e+02 5.22787260e-01 2.24179618e+02 8.37794912e-01 2.24179618e+02 8.93165433e-01 2.24179618e+02 1.09406804e+00 2.24179618e+02 1.67165313e+00 2.24179618e+02 1.52697780e+00
2.24979625e+02 5.12987023e-01 2.24979625e+02 8.20981111e-01 2.24979625e+02 8.74239673e-01 2.24979625e+02 1.07405272e+00 2.24979625e+02 1.66146605e+00 2.24979625e+02 1.56322299e+00
2.25779565e+02 5.04429614e-01 2.25779565e+02 8.05737770e-01 2.25779565e+02 8.54264630e-01 2.25779565e+02 1.05834142e+00 2.25779565e+02 1.65629589e+00 2.25779565e+02 1.61298367e+00
2.26579440e+02 4.96595121e-01 2.26579440e+02 7.91737817e-01 2.26579440e+02 8.35317937e-01 2.26579440e+02 1.03964845e+00 2.26579440e+02 1.64282270e+00 2.26579440e+02 1.66392730e+00
2.27379247e+02 4.88551033e-01 2.27379247e+02 7.77839732e-01 2.27379247e+02 8.14767974e-01 2.27379247e+02 1.01727558e+00 2.27379247e+02 1.62649423e+00 2.27379247e+02 1.70665890e+00
2.28178989e+02 4.82338742e-01 2.28178989e+02 7.66310233e-01 2.28178989e+02 7.98319817e-01 2.28178989e+02 1.00005308e+00 2.28178989e+02 1.60787743e+00 2.28178989e+02 1.74084392e+00
2.28978663e+02 4.77694539e-01 2.28978663e+02 7.56646030e-01 2.28978663e+02 7.86335721e-01 2.28978663e+02 9.85098977e-01 2.28978663e+02 1.59532237e+00 2.28978663e+02 1.77722127e+00
2.29778271e+02 4.75042329e-01 2.29778271e+02 7.52369734e-01 2.29778271e+02 7.80271254e-01 2.29778271e+02 9.77880680e-01 2.29778271e+02 1.58799988e+00 2.29778271e+02 1.80932676e+00
2.30577813e+02 4.74691113e-01 2.30577813e+02 7.50438584e-01 2.30577813e+02 7.78880851e-01 2.30577813e+02 9.77380207e-01 2.30577813e+02 1.58977256e+00 2.30577813e+02 1.85050508e+00
2.31377288e+02 4.75672096e-01 2.31377288e+02 7.54378430e-01 2.31377288e+02 7.84433557e-01 2.31377288e+02 9.84838363e-01 2.31377288e+02 1.59799538e+00 2.31377288e+02 1.88568609e+00
2.32176696e+02 4.80993536e-01 2.32176696e+02 7.63572869e-01 2.32176696e+02 7.97397728e-01 2.32176696e+02 1.00011849e+00 2.32176696e+02 1.61582107e+00 2.32176696e+02 1.92079762e+00
2.32976038e+02 4.86761804e-01 2.32976038e+02 7.73870456e-01 2.32976038e+02 8.14866389e-01 2.32976038e+02 1.02196081e+00 2.32976038e+02 1.64260634e+00 2.32976038e+02 1.94455051e+00
2.33775313e+02 4.95495770e-01 2.33775313e+02 7.90672196e-01 2.33775313e+02 8.39436769e-01 2.33775313e+02 1.05211331e+00 2.33775313e+02 1.67536998e+00 2.33775313e+02 1.96499838e+00
2.34574521e+02 5.06445495e-01 2.34574521e+02 8.11006423e-01 2.34574521e+02 8.70023283e-01 2.34574521e+02 1.08868154e+00 2.34574521e+02 1.71269243e+00 2.34574521e+02 1.97514228e+00
2.35373662e+02 5.17653957e-01 2.35373662e+02 8.32916184e-01 2.35373662e+02 9.03344127e-01 2.35373662e+02 1.12743094e+00 2.35373662e+02 1.75571281e+00 2.35373662e+02 1.98198152e+00
2.36172737e+02 5.32797779e-01 2.36172737e+02 8.59173805e-01 2.36172737e+02 9.42246519e-01 2.36172737e+02 1.17410334e+00 2.36172737e+02 1.79845595e+00 2.36172737e+02 1.98245414e+00
2.36971745e+02 5.48772593e-01 2.36971745e+02 8.89589816e-01 2.36971745e+02 9.84513475e-01 2.36971745e+02 1.22275826e+00 2.36971745e+02 1.84269099e+00 2.36971745e+02 1.97452425e+00
2.37770686e+02 5.65816765e-01 2.37770686e+02 9.21592740e-01 2.37770686e+02 1.03094758e+00 2.37770686e+02 1.27019073e+00 2.37770686e+02 1.88665957e+00 2.37770686e+02 1.96360540e+00
