x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
2.20178586e+02 3.16500000e+00 2.20178586e+02 4.04500000e+00 2.20178586e+02 5.54000000e+00 2.20178586e+02 5.98500000e+00 2.20178586e+02 6.93000000e+00 2.20178586e+02 2.99000000e+00
2.20978925e+02 2.08500000e+00 2.20978925e+02 2.64500000e+00 2.20978925e+02 4.74000000e+00 2.20978925e+02 5.42500000e+00 2.20978925e+02 5.57000000e+00 2.20978925e+02 1.07000000e+00
2.21779198e+02 2.12500000e+00 2.21779198e+02 2.56500000e+00 2.21779198e+02 3.70000000e+00 2.21779198e+02 4.18500000e+00 2.21779198e+02 6.37000000e+00 2.21779198e+02 2.35000000e+00
2.22579404e+02 1.28500000e+00 2.22579404e+02 1.48500000e+00 2.22579404e+02 3.86000000e+00 2.22579404e+02 4.02500000e+00 2.22579404e+02 3.45000000e+00 2.22579404e+02 7.20000000e-01
2.23379544e+02 8.05000000e-01 2.23379544e+02 5.95000000e-01 2.23379544e+02 2.14000000e+00 2.23379544e+02 2.12500000e+00 2.23379544e+02 3.29000000e+00 2.23379544e+02 1.45000000e+00
2.24179618e+02 4.64500000e+00 2.24179618e+02 3.88500000e+00 2.24179618e+02 7.34000000e+00 2.24179618e+02 8.94500000e+00 2.24179618e+02 6.57000000e+00 2.24179618e+02 4.47000000e+00
2.24979625e+02 2.44500000e+00 2.24979625e+02 3.56500000e+00 2.24979625e+02 5.50000000e+00 2.24979625e+02 5.06500000e+00 2.24979625e+02 6.33000000e+00 2.24979625e+02 2.19000000e+00
2.25779565e+02 1.40500000e+00 2.25779565e+02 1.52500000e+00 2.25779565e+02 3.86000000e+00 2.25779565e+02 4.42500000e+00 2.25779565e+02 5.05000000e+00 2.25779565e+02 1.23000000e+00
2.26579440e+02 1.13500000e+00 2.26579440e+02 1.96500000e+00 2.26579440e+02 3.46000000e+00 2.26579440e+02 3.26500000e+00 2.26579440e+02 4.33000000e+00 2.26579440e+02 1.31000000e+00
2.27379247e+02 6.55000000e-01 2.27379247e+02 1.90500000e+00 2.27379247e+02 3.30000000e+00 2.27379247e+02 5.02500000e+00 2.27379247e+02 3.17000000e+00 2.27379247e+02 6.70000000e-01
2.28178989e+02 3.40500000e+00 2.28178989e+02 5.48500000e+00 2.28178989e+02 5.82000000e+00 2.28178989e+02 7.06500000e+00 2.28178989e+02 7.81000000e+00 2.28178989e+02 3.15000000e+00
2.28978663e+02 2.20500000e+00 2.28978663e+02 2.72500000e+00 2.28978663e+02 3.70000000e+00 2.28978663e+02 4.94500000e+00 2.28978663e+02 3.97000000e+00 2.28978663e+02 1.13000000e+00
2.29778271e+02 1.20500000e+00 2.29778271e+02 3.48500000e+00 2.29778271e+02 4.70000000e+00 2.29778271e+02 5.34500000e+00 2.29778271e+02 4.33000000e+00 2.29778271e+02 9.10000000e-01
2.30577813e+02 1.38500000e+00 2.30577813e+02 1.20500000e+00 2.30577813e+02 1.58000000e+00 2.30577813e+02 3.06500000e+00 2.30577813e+02 2.65000000e+00 2.30577813e+02 1.89000000e+00
2.31377288e+02 1.96500000e+00 2.31377288e+02 3.36500000e+00 2.31377288e+02 4.58000000e+00 2.31377288e+02 5.42500000e+00 2.31377288e+02 5.41000000e+00 2.31377288e+02 1.39000000e+00
2.32176696e+02 8.45000000e-01 2.32176696e+02 1.46500000e+00 2.32176696e+02 2.94000000e+00 2.32176696e+02 3.70500000e+00 2.32176696e+02 3.97000000e+00 2.32176696e+02 1.29000000e+00
2.32976038e+02 2.24500000e+00 2.32976038e+02 2.36500000e+00 2.32976038e+02 4.26000000e+00 2.32976038e+02 4.54500000e+00 2.32976038e+02 5.85000000e+00 2.32976038e+02 1.59000000e+00
2.33775313e+02 1.92500000e+00 2.33775313e+02 2.24500000e+00 2.33775313e+02 3.90000000e+00 2.33775313e+02 5.14500000e+00 2.33775313e+02 4.85000000e+00 2.33775313e+02 2.07000000e+00
2.34574521e+02 3.28500000e+00 2.34574521e+02 4.84500000e+00 2.34574521e+02 5.42000000e+00 2.34574521e+02 6.78500000e+00 2.34574521e+02 5.73000000e+00 2.34574521e+02 2.91000000e+00
2.35373662e+02 2.40500000e+00 2.35373662e+02 3.36500000e+00 2.35373662e+02 3.74000000e+00 2.35373662e+02 4.06500000e+00 2.35373662e+02 3.97000000e+00 2.35373662e+02 1.15000000e+00
2.36172737e+02 2.76500000e+00 2.36172737e+02 2.76500000e+00 2.36172737e+02 4.02000000e+00 2.36172737e+02 5.30500000e+00 2.36172737e+02 5.61000000e+00 2.36172737e+02 2.03000000e+00
2.36971745e+02 1.28500000e+00 2.36971745e+02 3.40500000e+00 2.36971745e+02 3.58000000e+00 2.36971745e+02 3.90500000e+00 2.36971745e+02 3.17000000e+00 2.36971745e+02 7.90000000e-01
2.37770686e+02 1.08500000e+00 2.37770686e+02 2.72500000e+00 2.37770686e+02 3.14000000e+00 2.37770686e+02 4.98500000e+00 2.37770686e+02 4.53000000e+00 2.37770686e+02 1.55000000e+00
2.38569560e+02 4.00500000e+00 2.38569560e+02 4.84500000e+00 2.38569560e+02 6.50000000e+00 2.38569560e+02 6.10500000e+00 2.38569560e+02 6.97000000e+00 2.38569560e+02 3.51000000e+00
2.39368367e+02 9.35000000e-01 2.39368367e+02 1.09500000e+00 2.39368367e+02 3.10000000e+00 2.39368367e+02 2.66500000e+00 2.39368367e+02 3.13000000e+00 2.39368367e+02 8.00000000e-01
2.40167107e+02 2.08500000e+00 2.40167107e+02 3.56500000e+00 2.40167107e+02 4.14000000e+00 2.40167107e+02 4.70500000e+00 2.40167107e+02 4.41000000e+00 2.40167107e+02 2.27000000e+00
2.40965780e+02 3.04500000e+00 2.40965780e+02 3.20500000e+00 2.40965780e+02 3.94000000e+00 2.40965780e+02 4.98500000e+00 2.40965780e+02 4.13000000e+00 2.40965780e+02 2.35000000e+00
2.41764387e+02 6.45000000e-01 2.41764387e+02 1.72500000e+00 2.41764387e+02 1.86000000e+00 2.41764387e+02 3.18500000e+00 2.41764387e+02 2.93000000e+00 2.41764387e+02 1.04000000e+00
2.42562926e+02 1.24500000e+00 2.42562926e+02 9.25000000e-01 2.42562926e+02 6.60000000e-01 2.42562926e+02 1.18500000e+00 2.42562926e+02 2.14000000e+00 2.42562926e+02 1.17000000e+00
2.43361398e+02 4.00500000e+00 2.43361398e+02 3.52500000e+00 2.43361398e+02 5.10000000e+00 2.43361398e+02 5.22500000e+00 2.43361398e+02 5.25000000e+00 2.43361398e+02 2.63000000e+00
2.44159804e+02 7.05000000e-01 2.44159804e+02 7.95000000e-01 2.44159804e+02 8.60000000e-01 2.44159804e+02 1.84500000e+00 2.44159804e+02 1.09000000e+00 2.44159804e+02 1.09000000e+00
2.44958142e+02 2.27500000e+00 2.44958142e+02 3.52500000e+00 2.44958142e+02 5.66000000e+00 2.44958142e+02 6.26500000e+00 2.44958142e+02 5.01000000e+00 2.44958142e+02 2.31000000e+00
2.45756413e+02 2.12500000e+00 2.45756413e+02 2.55500000e+00 2.45756413e+02 2.62000000e+00 2.45756413e+02 3.54500000e+00 2.45756413e+02 4.53000000e+00 2.45756413e+02 1.60000000e+00
2.46554617e+02 2.00500000e+00 2.46554617e+02 1.40500000e+00 2.46554617e+02 3.50000000e+00 2.46554617e+02 4.66500000e+00 2.46554617e+02 4.01000000e+00 2.46554617e+02 1.99000000e+00
2.47352754e+02 2.80500000e+00 2.47352754e+02 2.40500000e+00 2.47352754e+02 4.02000000e+00 2.47352754e+02 4.86500000e+00 2.47352754e+02 4.45000000e+00 2.47352754e+02 2.63000000e+00
2.48150823e+02 3.36500000e+00 2.48150823e+02 2.96500000e+00 2.48150823e+02 4.22000000e+00 2.48150823e+02 4.94500000e+00 2.48150823e+02 5.69000000e+00 2.48150823e+02 1.71000000e+00
2.48948825e+02 1.88500000e+00 2.48948825e+02 2.00500000e+00 2.48948825e+02 2.78000000e+00 2.48948825e+02 3.78500000e+00 2.48948825e+02 4.57000000e+00 2.48948825e+02 6.30000000e-01
2.49746760e+02 7.75000000e-01 2.49746760e+02 1.40500000e+00 2.49746760e+02 2.02000000e+00 2.49746760e+02 2.58500000e+00 2.49746760e+02 3.13000000e+00 2.49746760e+02 6.50000000e-01
2.50544628e+02 1.36500000e+00 2.50544628e+02 9.25000000e-01 2.50544628e+02 2.38000000e+00 2.50544628e+02 2.98500000e+00 2.50544628e+02 3.65000000e+00 2.50544628e+02 1.63000000e+00
