x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
2.23380e+02 8.05000e-01 2.23380e+02 5.95000e-01 2.23380e+02 2.14000e+00 2.23380e+02 2.12500e+00 2.23380e+02 3.29000e+00 2.23380e+02 1.45000e+00
2.24180e+02 4.64500e+00 2.24180e+02 3.88500e+00 2.24180e+02 7.34000e+00 2.24180e+02 8.94500e+00 2.24180e+02 6.57000e+00 2.24180e+02 4.47000e+00
2.24980e+02 2.44500e+00 2.24980e+02 3.56500e+00 2.24980e+02 5.50000e+00 2.24980e+02 5.06500e+00 2.24980e+02 6.33000e+00 2.24980e+02 2.19000e+00
2.25780e+02 1.40500e+00 2.25780e+02 1.52500e+00 2.25780e+02 3.86000e+00 2.25780e+02 4.42500e+00 2.25780e+02 5.05000e+00 2.25780e+02 1.23000e+00
2.26579e+02 1.13500e+00 2.26579e+02 1.96500e+00 2.26579e+02 3.46000e+00 2.26579e+02 3.26500e+00 2.26579e+02 4.33000e+00 2.26579e+02 1.31000e+00
2.27379e+02 6.55000e-01 2.27379e+02 1.90500e+00 2.27379e+02 3.30000e+00 2.27379e+02 5.02500e+00 2.27379e+02 3.17000e+00 2.27379e+02 6.70000e-01
2.28179e+02 3.40500e+00 2.28179e+02 5.48500e+00 2.28179e+02 5.82000e+00 2.28179e+02 7.06500e+00 2.28179e+02 7.81000e+00 2.28179e+02 3.15000e+00
2.28979e+02 2.20500e+00 2.28979e+02 2.72500e+00 2.28979e+02 3.70000e+00 2.28979e+02 4.94500e+00 2.28979e+02 3.97000e+00 2.28979e+02 1.13000e+00
2.29778e+02 1.20500e+00 2.29778e+02 3.48500e+00 2.29778e+02 4.70000e+00 2.29778e+02 5.34500e+00 2.29778e+02 4.33000e+00 2.29778e+02 9.10000e-01
2.30578e+02 1.38500e+00 2.30578e+02 1.20500e+00 2.30578e+02 1.58000e+00 2.30578e+02 3.06500e+00 2.30578e+02 2.65000e+00 2.30578e+02 1.89000e+00
2.31377e+02 1.96500e+00 2.31377e+02 3.36500e+00 2.31377e+02 4.58000e+00 2.31377e+02 5.42500e+00 2.31377e+02 5.41000e+00 2.31377e+02 1.39000e+00
2.32177e+02 8.45000e-01 2.32177e+02 1.46500e+00 2.32177e+02 2.94000e+00 2.32177e+02 3.70500e+00 2.32177e+02 3.97000e+00 2.32177e+02 1.29000e+00
2.32976e+02 2.24500e+00 2.32976e+02 2.36500e+00 2.32976e+02 4.26000e+00 2.32976e+02 4.54500e+00 2.32976e+02 5.85000e+00 2.32976e+02 1.59000e+00
2.33775e+02 1.92500e+00 2.33775e+02 2.24500e+00 2.33775e+02 3.90000e+00 2.33775e+02 5.14500e+00 2.33775e+02 4.85000e+00 2.33775e+02 2.07000e+00
2.34575e+02 3.28500e+00 2.34575e+02 4.84500e+00 2.34575e+02 5.42000e+00 2.34575e+02 6.78500e+00 2.34575e+02 5.73000e+00 2.34575e+02 2.91000e+00
2.35374e+02 2.40500e+00 2.35374e+02 3.36500e+00 2.35374e+02 3.74000e+00 2.35374e+02 4.06500e+00 2.35374e+02 3.97000e+00 2.35374e+02 1.15000e+00
2.36173e+02 2.76500e+00 2.36173e+02 2.76500e+00 2.36173e+02 4.02000e+00 2.36173e+02 5.30500e+00 2.36173e+02 5.61000e+00 2.36173e+02 2.03000e+00
2.36972e+02 1.28500e+00 2.36972e+02 3.40500e+00 2.36972e+02 3.58000e+00 2.36972e+02 3.90500e+00 2.36972e+02 3.17000e+00 2.36972e+02 7.90000e-01
2.37771e+02 1.08500e+00 2.37771e+02 2.72500e+00 2.37771e+02 3.14000e+00 2.37771e+02 4.98500e+00 2.37771e+02 4.53000e+00 2.37771e+02 1.55000e+00
2.38570e+02 4.00500e+00 2.38570e+02 4.84500e+00 2.38570e+02 6.50000e+00 2.38570e+02 6.10500e+00 2.38570e+02 6.97000e+00 2.38570e+02 3.51000e+00
2.39368e+02 9.35000e-01 2.39368e+02 1.09500e+00 2.39368e+02 3.10000e+00 2.39368e+02 2.66500e+00 2.39368e+02 3.13000e+00 2.39368e+02 8.00000e-01
2.40167e+02 2.08500e+00 2.40167e+02 3.56500e+00 2.40167e+02 4.14000e+00 2.40167e+02 4.70500e+00 2.40167e+02 4.41000e+00 2.40167e+02 2.27000e+00
2.40966e+02 3.04500e+00 2.40966e+02 3.20500e+00 2.40966e+02 3.94000e+00 2.40966e+02 4.98500e+00 2.40966e+02 4.13000e+00 2.40966e+02 2.35000e+00
2.41764e+02 6.45000e-01 2.41764e+02 1.72500e+00 2.41764e+02 1.86000e+00 2.41764e+02 3.18500e+00 2.41764e+02 2.93000e+00 2.41764e+02 1.04000e+00
2.42563e+02 1.24500e+00 2.42563e+02 9.25000e-01 2.42563e+02 6.60000e-01 2.42563e+02 1.18500e+00 2.42563e+02 2.14000e+00 2.42563e+02 1.17000e+00
2.43361e+02 4.00500e+00 2.43361e+02 3.52500e+00 2.43361e+02 5.10000e+00 2.43361e+02 5.22500e+00 2.43361e+02 5.25000e+00 2.43361e+02 2.63000e+00
2.44160e+02 7.05000e-01 2.44160e+02 7.95000e-01 2.44160e+02 8.60000e-01 2.44160e+02 1.84500e+00 2.44160e+02 1.09000e+00 2.44160e+02 1.09000e+00
2.44958e+02 2.27500e+00 2.44958e+02 3.52500e+00 2.44958e+02 5.66000e+00 2.44958e+02 6.26500e+00 2.44958e+02 5.01000e+00 2.44958e+02 2.31000e+00
2.45756e+02 2.12500e+00 2.45756e+02 2.55500e+00 2.45756e+02 2.62000e+00 2.45756e+02 3.54500e+00 2.45756e+02 4.53000e+00 2.45756e+02 1.60000e+00
2.46555e+02 2.00500e+00 2.46555e+02 1.40500e+00 2.46555e+02 3.50000e+00 2.46555e+02 4.66500e+00 2.46555e+02 4.01000e+00 2.46555e+02 1.99000e+00
2.47353e+02 2.80500e+00 2.47353e+02 2.40500e+00 2.47353e+02 4.02000e+00 2.47353e+02 4.86500e+00 2.47353e+02 4.45000e+00 2.47353e+02 2.63000e+00
2.48151e+02 3.36500e+00 2.48151e+02 2.96500e+00 2.48151e+02 4.22000e+00 2.48151e+02 4.94500e+00 2.48151e+02 5.69000e+00 2.48151e+02 1.71000e+00
2.48949e+02 1.88500e+00 2.48949e+02 2.00500e+00 2.48949e+02 2.78000e+00 2.48949e+02 3.78500e+00 2.48949e+02 4.57000e+00 2.48949e+02 6.30000e-01
2.49747e+02 7.75000e-01 2.49747e+02 1.40500e+00 2.49747e+02 2.02000e+00 2.49747e+02 2.58500e+00 2.49747e+02 3.13000e+00 2.49747e+02 6.50000e-01
2.50545e+02 1.36500e+00 2.50545e+02 9.25000e-01 2.50545e+02 2.38000e+00 2.50545e+02 2.98500e+00 2.50545e+02 3.65000e+00 2.50545e+02 1.63000e+00
2.51342e+02 2.83500e+00 2.51342e+02 2.96500e+00 2.51342e+02 3.26000e+00 2.51342e+02 5.82500e+00 2.51342e+02 4.85000e+00 2.51342e+02 2.91000e+00
2.52140e+02 3.64500e+00 2.52140e+02 3.08500e+00 2.52140e+02 5.10000e+00 2.52140e+02 4.90500e+00 2.52140e+02 5.49000e+00 2.52140e+02 2.59000e+00
2.52938e+02 1.54500e+00 2.52938e+02 1.80500e+00 2.52938e+02 3.02000e+00 2.52938e+02 2.58500e+00 2.52938e+02 3.37000e+00 2.52938e+02 1.08000e+00
2.53735e+02 9.55000e-01 2.53735e+02 1.19500e+00 2.53735e+02 6.80000e-01 2.53735e+02 2.18500e+00 2.53735e+02 1.73000e+00 2.53735e+02 1.88000e+00
2.54533e+02 1.28500e+00 2.54533e+02 1.40500e+00 2.54533e+02 3.06000e+00 2.54533e+02 3.66500e+00 2.54533e+02 3.73000e+00 2.54533e+02 8.00000e-01
2.55330e+02 3.44500e+00 2.55330e+02 3.48500e+00 2.55330e+02 3.98000e+00 2.55330e+02 5.22500e+00 2.55330e+02 4.93000e+00 2.55330e+02 1.27000e+00
2.56128e+02 2.40500e+00 2.56128e+02 3.36500e+00 2.56128e+02 3.78000e+00 2.56128e+02 5.22500e+00 2.56128e+02 5.97000e+00 2.56128e+02 8.80000e-01
2.56925e+02 1.92500e+00 2.56925e+02 2.24500e+00 2.56925e+02 3.66000e+00 2.56925e+02 4.58500e+00 2.56925e+02 4.05000e+00 2.56925e+02 8.70000e-01
