x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
2.20178586e+02 3.25203097e-01 2.20178586e+02 5.73237288e-01 2.20178586e+02 8.25685491e-01 2.20178586e+02 9.83804575e-01 2.20178586e+02 1.13472804e+00 2.20178586e+02 1.35429239e+00
2.20978925e+02 3.20380950e-01 2.20978925e+02 5.64726318e-01 2.20978925e+02 8.21336427e-01 2.20978925e+02 9.88368929e-01 2.20978925e+02 1.14930617e+00 2.20978925e+02 1.38994263e+00
2.21779198e+02 3.14140560e-01 2.21779198e+02 5.53430792e-01 2.21779198e+02 8.14552026e-01 2.21779198e+02 9.88521755e-01 2.21779198e+02 1.15981728e+00 2.21779198e+02 1.43143256e+00
2.22579404e+02 3.06795001e-01 2.22579404e+02 5.41539955e-01 2.22579404e+02 8.03049326e-01 2.22579404e+02 9.85062873e-01 2.22579404e+02 1.16840274e+00 2.22579404e+02 1.46954754e+00
2.23379544e+02 2.98090082e-01 2.23379544e+02 5.28413168e-01 2.23379544e+02 7.86974908e-01 2.23379544e+02 9.73555543e-01 2.23379544e+02 1.16533257e+00 2.23379544e+02 1.50140790e+00
2.24179618e+02 2.88735103e-01 2.24179618e+02 5.11210171e-01 2.24179618e+02 7.64711660e-01 2.24179618e+02 9.53997028e-01 2.24179618e+02 1.14685582e+00 2.24179618e+02 1.52392453e+00
2.24979625e+02 2.78951446e-01 2.24979625e+02 4.94408533e-01 2.24979625e+02 7.45800817e-01 2.24979625e+02 9.34040007e-01 2.24979625e+02 1.13673233e+00 2.24979625e+02 1.56016290e+00
2.25779565e+02 2.70410615e-01 2.25779565e+02 4.79177355e-01 2.25779565e+02 7.25840692e-01 2.25779565e+02 9.18386993e-01 2.25779565e+02 1.13162576e+00 2.25779565e+02 1.60991677e+00
2.26579440e+02 2.62592699e-01 2.26579440e+02 4.65189564e-01 2.26579440e+02 7.06908915e-01 2.26579440e+02 8.99752313e-01 2.26579440e+02 1.11821614e+00 2.26579440e+02 1.66085359e+00
2.27379247e+02 2.54565187e-01 2.27379247e+02 4.51303641e-01 2.27379247e+02 6.86373867e-01 2.27379247e+02 8.77437721e-01 2.27379247e+02 1.10195124e+00 2.27379247e+02 1.70357837e+00
2.28178989e+02 2.48369469e-01 2.28178989e+02 4.39786302e-01 2.28178989e+02 6.69940623e-01 2.28178989e+02 8.60273503e-01 2.28178989e+02 1.08339800e+00 2.28178989e+02 1.73775657e+00
2.28978663e+02 2.43741839e-01 2.28978663e+02 4.30134258e-01 2.28978663e+02 6.57971440e-01 2.28978663e+02 8.45377673e-01 2.28978663e+02 1.07090650e+00 2.28978663e+02 1.77412711e+00
2.29778271e+02 2.41106200e-01 2.29778271e+02 4.25870121e-01 2.29778271e+02 6.51921884e-01 2.29778271e+02 8.38217643e-01 2.29778271e+02 1.06364757e+00 2.29778271e+02 1.80622579e+00
2.30577813e+02 2.40771554e-01 2.30577813e+02 4.23951128e-01 2.30577813e+02 6.50546392e-01 2.30577813e+02 8.37775433e-01 2.30577813e+02 1.06548379e+00 2.30577813e+02 1.84739730e+00
2.31377288e+02 2.41769106e-01 2.31377288e+02 4.27903130e-01 2.31377288e+02 6.56114006e-01 2.31377288e+02 8.45291848e-01 2.31377288e+02 1.07377016e+00 2.31377288e+02 1.88257149e+00
2.32176696e+02 2.47107113e-01 2.32176696e+02 4.37109725e-01 2.32176696e+02 6.69093085e-01 2.32176696e+02 8.60630224e-01 2.32176696e+02 1.09165939e+00 2.32176696e+02 1.91767622e+00
2.32976038e+02 2.52891947e-01 2.32976038e+02 4.47419466e-01 2.32976038e+02 6.86576652e-01 2.32976038e+02 8.82530799e-01 2.32976038e+02 1.11850820e+00 2.32976038e+02 1.94142229e+00
2.33775313e+02 2.61642478e-01 2.33775313e+02 4.64233358e-01 2.33775313e+02 7.11161937e-01 2.33775313e+02 9.12741542e-01 2.33775313e+02 1.15133536e+00 2.33775313e+02 1.96186335e+00
2.34574521e+02 2.72608766e-01 2.34574521e+02 4.84579738e-01 2.34574521e+02 7.41763355e-01 2.34574521e+02 9.49368003e-01 2.34574521e+02 1.18872134e+00 2.34574521e+02 1.97200044e+00
2.35373662e+02 2.83833789e-01 2.35373662e+02 5.06501650e-01 2.35373662e+02 7.75099101e-01 2.35373662e+02 9.88175640e-01 2.35373662e+02 1.23180523e+00 2.35373662e+02 1.97883287e+00
2.36172737e+02 2.98994171e-01 2.36172737e+02 5.32771421e-01 2.36172737e+02 8.14016394e-01 2.36172737e+02 1.03490627e+00 2.36172737e+02 1.27461188e+00 2.36172737e+02 1.97929869e+00
2.36971745e+02 3.14985544e-01 2.36971745e+02 5.63199581e-01 2.36971745e+02 8.56298250e-01 2.36971745e+02 1.08361941e+00 2.36971745e+02 1.31891043e+00 2.36971745e+02 1.97136199e+00
2.37770686e+02 3.32046274e-01 2.37770686e+02 5.95214653e-01 2.37770686e+02 9.02747255e-01 2.37770686e+02 1.13111010e+00 2.37770686e+02 1.36294252e+00 2.37770686e+02 1.96043633e+00
2.38569560e+02 3.49233286e-01 2.38569560e+02 6.26775638e-01 2.38569560e+02 9.46275902e-01 2.38569560e+02 1.17749593e+00 2.38569560e+02 1.39834482e+00 2.38569560e+02 1.93851276e+00
2.39368367e+02 3.68304999e-01 2.39368367e+02 6.62465989e-01 2.39368367e+02 9.92950969e-01 2.39368367e+02 1.22407877e+00 2.39368367e+02 1.43270273e+00 2.39368367e+02 1.92245636e+00
2.40167107e+02 3.90437012e-01 2.40167107e+02 6.99505352e-01 2.40167107e+02 1.03936967e+00 2.40167107e+02 1.26416235e+00 2.40167107e+02 1.45509113e+00 2.40167107e+02 1.90581875e+00
2.40965780e+02 4.12171214e-01 2.40965780e+02 7.36051138e-01 2.40965780e+02 1.08470667e+00 2.40965780e+02 1.30406472e+00 2.40965780e+02 1.47381986e+00 2.40965780e+02 1.89234755e+00
2.41764387e+02 4.34341050e-01 2.41764387e+02 7.73959030e-01 2.41764387e+02 1.13059618e+00 2.41764387e+02 1.33851315e+00 2.41764387e+02 1.49680504e+00 2.41764387e+02 1.88850554e+00
2.42562926e+02 4.57036106e-01 2.42562926e+02 8.13078135e-01 2.42562926e+02 1.17478051e+00 2.42562926e+02 1.37198713e+00 2.42562926e+02 1.51322824e+00 2.42562926e+02 1.89088061e+00
2.43361398e+02 4.80481577e-01 2.43361398e+02 8.50764232e-01 2.43361398e+02 1.21443964e+00 2.43361398e+02 1.39939760e+00 2.43361398e+02 1.52576019e+00 2.43361398e+02 1.89015779e+00
2.44159804e+02 5.02109753e-01 2.44159804e+02 8.85036729e-01 2.44159804e+02 1.24849958e+00 2.44159804e+02 1.41816953e+00 2.44159804e+02 1.53205171e+00 2.44159804e+02 1.89504846e+00
2.44958142e+02 5.20963098e-01 2.44958142e+02 9.13838096e-01 2.44958142e+02 1.27043798e+00 2.44958142e+02 1.42371219e+00 2.44958142e+02 1.52169254e+00 2.44958142e+02 1.88455182e+00
2.45756413e+02 5.37951476e-01 2.45756413e+02 9.34832911e-01 2.45756413e+02 1.27843605e+00 2.45756413e+02 1.41554847e+00 2.45756413e+02 1.50446765e+00 2.45756413e+02 1.87252002e+00
2.46554617e+02 5.49693496e-01 2.46554617e+02 9.45890964e-01 2.46554617e+02 1.27225777e+00 2.46554617e+02 1.39172198e+00 2.46554617e+02 1.47080307e+00 2.46554617e+02 1.84763425e+00
2.47352754e+02 5.56421063e-01 2.47352754e+02 9.46641975e-01 2.47352754e+02 1.25002794e+00 2.47352754e+02 1.35364518e+00 2.47352754e+02 1.42552268e+00 2.47352754e+02 1.81513403e+00
2.48150823e+02 5.58591543e-01 2.48150823e+02 9.37028644e-01 2.48150823e+02 1.21671493e+00 2.48150823e+02 1.30653617e+00 2.48150823e+02 1.37201989e+00 2.48150823e+02 1.77405346e+00
