Data_source Abs_365 Abs_offset_365
1E-4M_200ms_mean -1.40000e-01 7.02560e-02
1E-4M_300ms_mean -1.10000e-01 7.22472e-02
1E-4M_400ms_mean -1.00000e-01 7.84622e-02
2E-4M_200ms_mean 1.80000e-01 1.87663e-01
2E-4M_300ms_mean 1.80000e-01 1.86101e-01
2E-4M_400ms_mean 1.80000e-01 1.80142e-01
5E-4M_200ms_mean 6.50000e-01 4.22843e-01
5E-4M_300ms_mean 6.50000e-01 4.30381e-01
5E-4M_400ms_mean 6.50000e-01 4.26695e-01
